,Term,Coefficient,Robust SE,z,p-value
0,const,-0.2297,0.0095,-24.20,<0.001
1,log1p_ttl_receipts,0.0318,0.0009,33.83,<0.001
2,inc_Incumbent,0.2291,0.0033,70.47,<0.001
3,inc_Open-seat,0.0520,0.0050,10.42,<0.001
4,pty_DEM,0.2248,0.0062,36.47,<0.001
5,pty_REP,0.1977,0.0062,31.75,<0.001
