1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, GU, LA)","GE RUNOFF ELECTION % (GA, GU, LA)","COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES
2,,,,,,,,,,,,,,,,,,,,,,,
3,AL,Alabama,01,H0AL01055,,Jerry,Carl,"Carl, Jerry",,R,38490,38.6954729614252%,44421,52.2766055099855%,211825,64.3698245080909%,,,,,W,W,
4,AL,Alabama,01,H0AL01089,,Bill,Hightower,"Hightower, Bill",,R,37283,37.4820295770542%,40552,47.7233944900145%,,,,,,,,,
5,AL,Alabama,01,H0AL01071,,Chris,Pringle,"Pringle, Chris",,R,19126,19.2281012174647%,,,,,,,,,,,
6,AL,Alabama,01,H0AL01063,,Wes,Lambert,"Lambert, Wes",,R,3102,3.11855955121696%,,,,,,,,,,,
7,AL,Alabama,01,H0AL01121,,John,Castorani,"Castorani, John",,R,1468,1.47583669283897%,,,,,,,,,,,
8,AL,Alabama,01,n/a,,,,,Party Votes:,R,99469,,84973,,,,,,,,,,
9,AL,Alabama,01,H0AL01097,,James,Averhart,"Averhart, James",,D,21022,40.347004970923%,15840,56.6888554863646%,116949,35.5387069816911%,,,,,W,,
10,AL,Alabama,01,H0AL01105,,Kiani A.,Gardner,"Gardner, Kiani A.",,D,22962,44.0703990173311%,12102,43.3111445136354%,,,,,,,,,
11,AL,Alabama,01,H0AL01139,,Rick,Collins,"Collins, Rick",,D,8119,15.582596011746%,,,,,,,,,,,
12,AL,Alabama,01,n/a,,,,,Party Votes:,D,52103,,27942,,,,,,,,,,
13,AL,Alabama,01,n/a,,,Scattered,Scattered,,W,,,,,301,0.0914685102180354%,,,,,,,
14,AL,Alabama,01,n/a,,,,,District Votes:,,151572,,112915,,329075,,,,,,,,
15,AL,Alabama,02,H8AL02171,,Barry,Moore,"Moore, Barry",,R,21392,20.4526115514423%,52248,60.4491340113151%,197996,65.2227335465743%,,,,,W,W,
16,AL,Alabama,02,H0AL02145,,Jeff,Coleman,"Coleman, Jeff",,R,39804,38.0560840591627%,34185,39.5508659886849%,,,,,,,,,
17,AL,Alabama,02,H0AL02178,,Jessica,Taylor,"Taylor, Jessica",,R,20789,19.8760911342059%,,,,,,,,,,,
18,AL,Alabama,02,H0AL02152,,Troy,King,"King, Troy",,R,15171,14.504794775941%,,,,,,,,,,,
19,AL,Alabama,02,H0AL02194,,Terri A.,Hasdorff,"Hasdorff, Terri A.",,R,5216,4.98694941344067%,,,,,,,,,,,
20,AL,Alabama,02,H0AL02160,,"Thomas W., Jr.",Brown,"Brown, Thomas W., Jr.",,R,1395,1.3337412637557%,,,,,,,,,,,
21,AL,Alabama,02,H6AL02159,,Bob,Rogers,"Rogers, Bob",,R,826,0.789727802051763%,,,,,,,,,,,
22,AL,Alabama,02,n/a,,,,,Party Votes:,R,104593,,86433,,,,,,,,,,
23,AL,Alabama,02,H0AL02202,,Phyllis,Harvey-Hall,"Harvey-Hall, Phyllis",,D,27399,59.1809404497052%,,,105286,34.6827245206197%,,,,,W,,
24,AL,Alabama,02,H6AL02167,,Nathan,Mathis,"Mathis, Nathan",,D,18898,40.8190595502948%,,,,,,,,,,,
25,AL,Alabama,02,n/a,,,,,Party Votes:,D,46297,,,,,,,,,,,,
26,AL,Alabama,02,n/a,,,Scattered,Scattered,,W,,,,,287,0.0945419328060507%,,,,,,,
27,AL,Alabama,02,n/a,,,,,District Votes:,,150890,,86433,,303569,,,,,,,,
28,AL,Alabama,03,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,R,Unopposed,,,,217384,67.4615341646133%,,,,,W,W,
29,AL,Alabama,03,H8AL03062,,Adia,Winfrey,"Winfrey, Adia",,D,Unopposed,,,,104595,32.4593307968743%,,,,,W,,
30,AL,Alabama,03,n/a,,,Scattered,Scattered,,W,,,,,255,0.0791350385123854%,,,,,,,
31,AL,Alabama,03,n/a,,,,,District Votes:,,,,,,322234,,,,,,,,
32,AL,Alabama,04,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,R,Unopposed,,,,261553,82.2418710243406%,,,,,W,W,
33,AL,Alabama,04,H8AL04086,,Rick,Neighbors,"Neighbors, Rick",,D,Unopposed,,,,56237,17.6829785962915%,,,,,W,,
34,AL,Alabama,04,n/a,,,Scattered,Scattered,,W,,,,,239,0.0751503793679193%,,,,,,,
35,AL,Alabama,04,n/a,,,,,District Votes:,,,,,,318029,,,,,,,,
36,AL,Alabama,05,H0AL05163,(I),Mo,Brooks,"Brooks, Mo",,R,84013,74.8812335665582%,,,253094,95.8108721986675%,,,,,W,W,
37,AL,Alabama,05,H0AL05205,,Chris,Lewis,"Lewis, Chris",,R,28182,25.1187664334418%,,,,,,,,,,,
38,AL,Alabama,05,n/a,,,,,Party Votes:,R,112195,,,,,,,,,,,,
39,AL,Alabama,05,n/a,,,Scattered,Scattered,,W,,,,,11066,4.18912780133253%,,,,,,,
40,AL,Alabama,05,n/a,,,,,District Votes:,,112195,,,,264160,,,,,,,,
41,AL,Alabama,06,H4AL06098,(I),Gary,Palmer,"Palmer, Gary",,R,Unopposed,,,,274160,97.1299612769742%,,,,,W,W,
42,AL,Alabama,06,n/a,,,Scattered,Scattered,,W,,,,,8101,2.87003872302585%,,,,,,,
43,AL,Alabama,06,n/a,,,,,District Votes:,,,,,,282261,,,,,,,,
44,AL,Alabama,07,H0AL07086,(I),Terri A.,Sewell,"Sewell, Terri A.",,D,Unopposed,,,,225742,97.1639600397708%,,,,,W,W,
45,AL,Alabama,07,n/a,,,Scattered,Scattered,,W,,,,,6589,2.83603996022916%,,,,,,,
46,AL,Alabama,07,n/a,,,,,District Votes:,,,,,,232331,,,,,,,,
47,AL,Alabama,H,n/a,,,,,Total State Votes:,,414657,,199348,,2051659,,,,,,,,
48,,,,n/a,,,,,,,,,,,,,,,,,,,
49,AK,Alaska,00,H6AK00045,(I),Don,Young,"Young, Don",,R,51972,76.1271422293833%,,,192126,54.4012005719706%,,,,,W,W,
50,AK,Alaska,00,H8AK01031 ,,"T. ""John""",Nelson,"Nelson, T. ""John""",,R,12344,18.0811483814267%,,,,,,,,,,,
51,AK,Alaska,00,H6AK00268,,"Gerald L. ""Jer""",Heikes,"Heikes, Gerald L. ""Jer""",,R,3954,5.79170938918998%,,,,,,,,,,,
52,AK,Alaska,00,n/a,,,,,Party Votes:,R,68270,,,,,,,,,,,,
53,AK,Alaska,00,H8AK00140,,Alyse S.,Galvin,"Galvin, Alyse S.",,N(D)/D,53258,85.8349315841217%,,,159856,45.2638285220789%,,,,,W,,*  N(D) = Nonpartisan (Democratic Primary).  The Alaska Democratic Party allows candidates who are registered as Undeclared or Nonpartisan to run as candidates in its primary.
54,AK,Alaska,00,H0AK00113,,Ray Sean,Tugatuk,"Tugatuk, Ray Sean",,D,4858,7.82954856802102%,,,,,,,,,,,
55,AK,Alaska,00,H6AK00243,,"William ""Bill""",Hibler,"Hibler, William ""Bill""",,D,3931,6.33551984785727%,,,,,,,,,,,
56,AK,Alaska,00,n/a,,,,,Party Votes:,D,62047,,,,,,,,,,,,
57,AK,Alaska,00,n/a,,,Scattered,Scattered,,W,,,,,1183,0.334970905950476%,,,,,,,
58,AK,Alaska,00,n/a,,,,,District Votes:,,130317,,,,353165,,,,,,,,
59,AK,Alaska,H,n/a,,,,,Total State Votes:,,130317,,,,353165,,,,,,,,
60,,,,n/a,,,,,,,,,,,,,,,,,,,
61,AS,American Samoa,00,H4AS00036,(I),Aumua,Amata,"Amata, Aumua",,R,,,,,9790,83.326240531109%,,,,,,W,
62,AS,American Samoa,00,H0AS01016,,Oreta Tufaga Mapu,Crichton,"Crichton, Oreta Tufaga Mapu",,D,,,,,1709,14.5459188016001%,,,,,,,
63,AS,American Samoa,00,H4AS00093,,Meleagi ,Suitonu-Chapman,"Suitonu-Chapman, Meleagi ",,D,,,,,250,2.12784066729083%,,,,,,,
64,AS,American Samoa,00,n/a,,,,,District Votes:,,,,,,11749,,,,,,,,
65,AS,American Samoa,H,n/a,,,,,Total State Votes:,,,,,,11749,,,,,,,,
66,,,,n/a,,,,,,,,,,,,,,,,,,,
67,AZ,Arizona,01,H6AZ01199,(I),Tom,O'Halleran,"O'Halleran, Tom",,D,47083,58.6112459698%,,,188469,51.6101736687314%,,,,,W,W,
68,AZ,Arizona,01,H0AZ01358,,Eva,Putzova,"Putzova, Eva",,D,33248,41.3887540302001%,,,,,,,,,,,
69,AZ,Arizona,01,n/a,,,,,Party Votes:,D,80331,,,,,,,,,,,,
70,AZ,Arizona,01,H8AZ01237,,Tiffany,Shedd,"Shedd, Tiffany",,R,40310,54.6739366319444%,,,176709,48.3898263312686%,,,,,W,,
71,AZ,Arizona,01,H0AZ01408,,Nolan,Reidhead,"Reidhead, Nolan",,R,33418,45.3260633680556%,,,,,,,,,,,
72,AZ,Arizona,01,n/a,,,,,Party Votes:,R,73728,,,,,,,,,,,,
73,AZ,Arizona,01,n/a,,,,,District Votes:,,154059,,,,365178,,,,,,,,
74,AZ,Arizona,02,H8AZ01104,(I),Ann,Kirkpatrick,"Kirkpatrick, Ann",,D,77517,76.3323223570191%,,,209945,55.0958656778304%,,,,,W,W,
75,AZ,Arizona,02,H0AZ02281,,Peter,Quilter,"Quilter, Peter",,D,24035,23.6676776429809%,,,,,,,,,,,
76,AZ,Arizona,02,n/a,,,,,Party Votes:,D,101552,,,,,,,,,,,,
77,AZ,Arizona,02,H0AZ02190,,Brandon,Martin,"Martin, Brandon",,R,31730,42.5147052912251%,,,170975,44.8689687025986%,,,,,W,,
78,AZ,Arizona,02,H0AZ02265,,Noran Eric,Ruden,"Ruden, Noran Eric",,R,25049,33.5629011295272%,,,,,,,,,,,
79,AZ,Arizona,02,H0AZ02182,,Joseph,Morgan,"Morgan, Joseph",,R,17802,23.852719306473%,,,,,,,,,,,
80,AZ,Arizona,02,H8AZ02250,,Jordan,Flayer,"Flayer, Jordan",,W(R),52,0.0696742727747779%,,,,,,,,,,,
81,AZ,Arizona,02,n/a,,,,,Party Votes:,R,74633,,,,,,,,,,,,
82,AZ,Arizona,02,H0AZ02216,,Iman,Bah,"Bah, Iman",,W,,,,,99,0.0259805696830371%,,,,,,,
83,AZ,Arizona,02,H0AZ02307,,Brandon,Schlass,"Schlass, Brandon",,W,,,,,35,0.00918504988794239%,,,,,,,
84,AZ,Arizona,02,n/a,,,,,District Votes:,,176185,,,,381054,,,,,,,,
85,AZ,Arizona,03,H2AZ07070,(I),R ul,Grijalva,"Grijalva, R ul",,D,63290,100%,,,174243,64.5734276618848%,,,,,W,W,
86,AZ,Arizona,03,n/a,,,,,Party Votes:,D,63290,,,,,,,,,,,,
87,AZ,Arizona,03,H0AZ03461,,Daniel,Wood,"Wood, Daniel",,R,29272,99.8499113112294%,,,95594,35.4265723381152%,,,,,W,,
88,AZ,Arizona,03,H0AZ03461,,Daniel,Wood,"Wood, Daniel",,R,,,,,,,,,,,,,
89,AZ,Arizona,03,H0AZ03479,,Richard,Jolley,"Jolley, Richard",,W(R),44,0.150088688770637%,,,,,,,,,,,
90,AZ,Arizona,03,n/a,,,,,Party Votes:,R,29316,,,,,,,,,,,,
91,AZ,Arizona,03,n/a,,,,,District Votes:,,92606,,,,269837,,,,,,,,
92,AZ,Arizona,04,H0AZ01259,(I),Paul,Gosar,"Gosar, Paul",,R,82376,63.1262740049351%,,,278002,69.7405819533745%,,,,,W,W,
93,AZ,Arizona,04,H0AZ04535,,Anne Marie,Ward,"Ward, Anne Marie",,R,48118,36.8737259950649%,,,,,,,,,,,
94,AZ,Arizona,04,n/a,,,,,Party Votes:,R,130494,,,,,,,,,,,,
95,AZ,Arizona,04,H8AZ04165,,Delina,DiSanto,"DiSanto, Delina",,D,34348,74.3463203463204%,,,120484,30.2250497337083%,,,,,W,,
96,AZ,Arizona,04,H0AZ04519,,Stuart,Starky,"Starky, Stuart",,D,11852,25.6536796536797%,,,,,,,,,,,
97,AZ,Arizona,04,n/a,,,,,Party Votes:,D,46200,,,,,,,,,,,,
98,AZ,Arizona,04,H0AZ04550,,Brett,Brennan,"Brennan, Brett",,W,,,,,67,0.0168078610617049%,,,,,,,
99,AZ,Arizona,04,H8AZ04132,,Ana,Perez Gissy,"Perez Gissy, Ana",,W,,,,,39,0.00978368031949988%,,,,,,,
100,AZ,Arizona,04,H0AZ04568,,Miko,Jones,"Jones, Miko",,W,,,,,19,0.00476640836078199%,,,,,,,
101,AZ,Arizona,04,H0AZ04527,,Emily,Robinson,"Robinson, Emily",,W,,,,,7,0.00175604518555126%,,,,,,,
102,AZ,Arizona,04,n/a,,Don,Overholser,"Overholser, Don",,W,,,,,5,0.00125431798967947%,,,,,,,
103,AZ,Arizona,04,n/a,,,,,District Votes:,,176694,,,,398623,,,,,,,,
104,AZ,Arizona,05,H6AZ05083,(I),Andy,Biggs,"Biggs, Andy",,R,104969,99.558965798509%,,,262414,58.8825038089831%,,,,,W,W,
105,AZ,Arizona,05,	H0AZ05193 ,,Joe,Vess,"Vess, Joe",,W(R),465,0.44103420149098%,,,,,,,,,,,
106,AZ,Arizona,05,n/a,,,,,Party Votes:,R,105434,,,,,,,,,,,,
107,AZ,Arizona,05,H8AZ05154 ,,Joan,Greene,"Greene, Joan",,D,34090,50.0352257382728%,,,183171,41.1013402684127%,,,,,W,,
108,AZ,Arizona,05,H0AZ05185,,Javier,Ramos,"Ramos, Javier",,D,26828,39.3765044325721%,,,,,,,,,,,
109,AZ,Arizona,05,H0AZ05169,,Jon,Ireland,"Ireland, Jon",,D,7214,10.5882698291552%,,,,,,,,,,,
110,AZ,Arizona,05,n/a,,,,,Party Votes:,D,68132,,,,,,,,,,,,
111,AZ,Arizona,05,H0AZ05201,,Karen,Stephens,"Stephens, Karen",,W,,,,,72,0.0161559226041552%,,,,,,,
112,AZ,Arizona,05,n/a,,,,,District Votes:,,173566,,,,445657,,,,,,,,
113,AZ,Arizona,06,H4AZ06045,(I),David  ,Schweikert,"Schweikert, David  ",,R,94526,100%,,,217783,52.1727152292497%,,,,,W,W,
114,AZ,Arizona,06,n/a,,,,,Party Votes:,R,94526,,,,,,,,,,,,
115,AZ,Arizona,06,H8AZ08083,,Hiral,Tipirneni,"Tipirneni, Hiral",,D,42566,53.1662961205066%,,,199644,47.8272847707503%,,,,,W,,
116,AZ,Arizona,06,H8AZ06103,,Anita,Malik,"Malik, Anita",,D,29238,36.5191976218431%,,,,,,,,,,,
117,AZ,Arizona,06,H0AZ06068,,Stephanie,Rimmer,"Rimmer, Stephanie",,D,4601,5.74679623291949%,,,,,,,,,,,
118,AZ,Arizona,06,H0AZ06084,,Karl,Gentles,"Gentles, Karl",,D,3657,4.56771002473083%,,,,,,,,,,,
119,AZ,Arizona,06,n/a,,,,,Party Votes:,D,80062,,,,,,,,,,,,
120,AZ,Arizona,06,n/a,,,,,District Votes:,,174588,,,,417427,,,,,,,,
121,AZ,Arizona,07,H4AZ07043,(I),Ruben,Gallego,"Gallego, Ruben",,D,56108,100%,,,165452,76.6933046557766%,,,,,W,W,
122,AZ,Arizona,07,n/a,,,,,Party Votes:,D,56108,,,,,,,,,,,,
123,AZ,Arizona,07,H0AZ07082,,Joshua,Barnett,"Barnett, Joshua",,R,15245,100%,,,50226,23.2816642871711%,,,,,W,,
124,AZ,Arizona,07,n/a,,,,,Party Votes:,R,15245,,,,,,,,,,,,
125,AZ,Arizona,07,H0AZ07116,,Roxanne,Rodriguez,"Rodriguez, Roxanne",,W,,,,,51,0.023640442771587%,,,,,,,
126,AZ,Arizona,07,n/a,,J. Travis,Kirkham,"Kirkham, J. Travis",,W,,,,,3,0.00139061428068159%,,,,,,,
127,AZ,Arizona,07,n/a,,,,,District Votes:,,71353,,,,215732,,,,,,,,
128,AZ,Arizona,08,H8AZ08158,(I),Debbie,Lesko,"Lesko, Debbie",,R,105758,100%,,,251633,59.5627587480206%,,,,,W,W,
129,AZ,Arizona,08,n/a,,,,,Party Votes:,R,105758,,,,,,,,,,,,
130,AZ,Arizona,08,H0AZ08072,,Michael,Muscato,"Muscato, Michael",,D,35923,54.3522006869109%,,,170816,40.4329805641624%,,,,,W,,
131,AZ,Arizona,08,H0AZ08080,,"Robert ""Bob""",Olsen,"Olsen, Robert ""Bob""",,D,20547,31.0880123462394%,,,,,,,,,,,
132,AZ,Arizona,08,H8AZ08232,,Bob,Musselwhite,"Musselwhite, Bob",,D,9578,14.491701087861%,,,,,,,,,,,
133,AZ,Arizona,08,"H0AZ08106
",,Kyle,Martin,"Martin, Kyle",,W(D),45,0.0680858789886978%,,,,,,,,,,,
134,AZ,Arizona,08,n/a,,,,,Party Votes:,D,66093,,,,,,,,,,,,
135,AZ,Arizona,08,H0AZ08114,,Taliban,Hendrix,"Hendrix, Taliban",,W,,,,,18,0.0042606878170366%,,,,,,,
136,AZ,Arizona,08,n/a,,,,,District Votes:,,171851,,,,422467,,,,,,,,
137,AZ,Arizona,09,H8AZ09040,(I),Greg,Stanton,"Stanton, Greg",,D,83508,100%,,,217094,61.6264612205272%,,,,,W,W,
138,AZ,Arizona,09,n/a,,,,,Party Votes:,D,83508,,,,,,,,,,,,
139,AZ,Arizona,09,H6AZ09010,,Dave,Giles,"Giles, Dave",,R,28488,53.6709433109139%,,,135180,38.3735387794728%,,,,,W,,
140,AZ,Arizona,09,H0AZ09047,,Sam,Huang,"Huang, Sam",,R,12532,23.6100906196424%,,,,,,,,,,,
141,AZ,Arizona,09,H0AZ09021,,Nicholas,Tutora,"Tutora, Nicholas",,R,12059,22.7189660694437%,,,,,,,,,,,
142,AZ,Arizona,09,n/a,,,,,Party Votes:,R,53079,,,,,,,,,,,,
143,AZ,Arizona,09,n/a,,,,,District Votes:,,136587,,,,352274,,,,,,,,
144,AZ,Arizona,H,n/a,,,,,Total State Votes:,,1327489,,,,3268249,,,,,,,,
145,,,,n/a,,,,,,,,,,,,,,,,,,,
146,AR,Arkansas,01,H0AR01083,(I),Rick,Crawford,"Crawford, Rick",,R,Unopposed,,,,237596,100%,,,,,W,W,
147,AR,Arkansas,01,n/a,,,,,District Votes:,,,,,,237596,,,,,,,,
148,AR,Arkansas,02,H4AR02141,(I),French,Hill,"Hill, French",,R,Unopposed,,,,184093,55.3658162482745%,,,,,W,W,
149,AR,Arkansas,02,H0AR02206,,Joyce,Elliott,"Elliott, Joyce",,D,Unopposed,,,,148410,44.6341837517256%,,,,,W,,
150,AR,Arkansas,02,n/a,,,,,District Votes:,,,,,,332503,,,,,,,,
151,AR,Arkansas,03,H0AR03055,(I),Steve,Womack,"Womack, Steve",,R,Unopposed,,,,214960,64.3088355840628%,,,,,W,W,
152,AR,Arkansas,03,H0AR03105,,Celeste,Williams,"Williams, Celeste",,D,Unopposed,,,,106325,31.8088804590411%,,,,,W,,
153,AR,Arkansas,03,H8AR03090,,Michael J.,Kalagias,"Kalagias, Michael J.",,LIB,,,,,12977,3.88228395689609%,,,,,,,
154,AR,Arkansas,03,n/a,,,,,District Votes:,,,,,,334262,,,,,,,,
155,AR,Arkansas,04,H4AR04048,(I),Bruce ,Westerman,"Westerman, Bruce ",,R,Unopposed,,,,191617,69.6700419946552%,,,,,W,W,
156,AR,Arkansas,04,H0AR04087,,William H.,Hanson,"Hanson, William H.",,D,Unopposed,,,,75750,27.5419492064646%,,,,,W,,
157,AR,Arkansas,04,H0AR04095,,Frank,Gilbert,"Gilbert, Frank",,LIB,,,,,7668,2.78800879888014%,,,,,,,
158,AR,Arkansas,04,n/a,,,,,District Votes:,,,,,,275035,,,,,,,,
159,AR,Arkansas,H,n/a,,,,,Total State Votes:,,n/a,,,,1179396,,,,,,,,
160,,,,n/a,,,,,,,,,,,,,,,,,,,
161,CA,California,01,H2CA02142,(I),Doug,LaMalfa,"LaMalfa, Doug",,R,128613,54.6380277920566%,,,204190,56.9944426301348%,,,,,W,W,
162,CA,California,01,H8CA01257,,Audrey ,Denney,"Denney, Audrey ",,D,92655,39.3621676274794%,,,154073,43.0055573698652%,,,,,W,,
163,CA,California,01,H0CA01213,,Rob,Lydon,"Lydon, Rob",,D,8745,3.71509530950631%,,,,,,,,,,,
164,CA,California,01,H0CA01197,,"Joseph, IV",LeTourneau,"LeTourneau, Joseph, IV",,NOP,2769,1.17634064174076%,,,,,,,,,,,
165,CA,California,01,H2CA01136,,Gregory Edward,Cheadle,"Cheadle, Gregory Edward",,NOP,2596,1.10284590319936%,,,,,,,,,,,
166,CA,California,01,n/a,,Kenneth E.,Swanson,"Swanson, Kenneth E.",,W(R),13,0.00552272601756227%,,,,,,,,,,,
167,CA,California,01,n/a,,,,,District Votes:,,235391,,,,358263,,,,,,,,
168,CA,California,02,H2CA06259,(I),Jared,Huffman,"Huffman, Jared",,D,184155,67.688366297512%,,,294435,75.7379326310916%,,,,,W,W,
169,CA,California,02,H4CA02098,,Dale K.,Mensing,"Mensing, Dale K.",,R,51287,18.8511484472346%,,,94320,24.2620673689084%,,,,,W,,
170,CA,California,02,H0CA02179,,Rachel,Moniz,"Moniz, Rachel",,D,20609,7.57508371222842%,,,,,,,,,,,
171,CA,California,02,H0CA02187,,Melissa,Bradley,"Bradley, Melissa",,GRE,12412,4.56217861304183%,,,,,,,,,,,
172,CA,California,02,H8CA00051,,"Charles ""Wally""",Coppock,"Coppock, Charles ""Wally""",,AIP,3600,1.32322292998313%,,,,,,,,,,,
173,CA,California,02,n/a,,,,,District Votes:,,272063,,,,388755,,,,,,,,
174,CA,California,03,H0CA10149,(I),John,Garamendi,"Garamendi, John",,D,110504,59.1968800891403%,,,176043,54.6737766624843%,,,,,W,W,
175,CA,California,03,H0CA03128,,Tamika,Hamilton,"Hamilton, Tamika",,R,50925,27.2804705579841%,,,145945,45.3262233375157%,,,,,W,,
176,CA,California,03,H0CA03144,,Sean,Feucht,"Feucht, Sean",,R,25243,13.5226493528756%,,,,,,,,,,,
177,CA,California,03,n/a,,,,,District Votes:,,186672,,,,321988,,,,,,,,
178,CA,California,04,H8CA04152,(I),Tom,McClintock,"McClintock, Tom",,R,141244,50.7433087839052%,,,247291,55.9454054323088%,,,,,W,W,
179,CA,California,04,H0CA04175,,Brynne S.,Kennedy,"Kennedy, Brynne S.",,D,110771,39.795581102928%,,,194731,44.0545945676912%,,,,,W,,
180,CA,California,04,H0CA04183,,Julianne,Benzel,"Benzel, Julianne",,R,12138,4.36069696425364%,,,,,,,,,,,
181,CA,California,04,H8CA04244,,Robert ,Lawton,"Lawton, Robert ",,NOP,4848,1.74169211424466%,,,,,,,,,,,
182,CA,California,04,H0CA04209,,Jamie,Byers,"Byers, Jamie",,R,4822,1.73235135620622%,,,,,,,,,,,
183,CA,California,04,H0CA04217,,Jacob,Thomas,"Thomas, Jacob",,R,4527,1.62636967846237%,,,,,,,,,,,
184,CA,California,04,n/a,,,,,District Votes:,,278350,,,,442022,,,,,,,,
185,CA,California,05,H8CA01109,(I),Mike,Thompson,"Thompson, Mike",,D,146980,67.5397481849095%,,,271233,76.0907254670931%,,,,,W,W,
186,CA,California,05,H0CA05107,,Scott,Giblin,"Giblin, Scott",,R,43987,20.2127561804981%,,,85227,23.9092745329069%,,,,,W,,
187,CA,California,05,H0CA05115,,John Wesley,Tyler,"Tyler, John Wesley",,D,20725,9.52348129767485%,,,,,,,,,,,
188,CA,California,05,H8CA05183,,Jason,Kishineff,"Kishineff, Jason",,D,5928,2.72401433691756%,,,,,,,,,,,
189,CA,California,05,n/a,,,,,District Votes:,,217620,,,,356460,,,,,,,,
190,CA,California,06,H6CA05195,(I),Doris,Matsui,"Matsui, Doris",,D,119408,70.1908663935245%,,,229648,73.3432551722376%,,,,,W,W,
191,CA,California,06,H0CA06170,,Chris,Bish,"Bish, Chris",,R,24321,14.2964630640904%,,,83466,26.6567448277624%,,,,,W,,
192,CA,California,06,H0CA06162,,Benjamin,Emard,"Emard, Benjamin",,D,13253,7.79042905260435%,,,,,,,,,,,
193,CA,California,06,H0CA06188,,"Sherwood Ellsworth, Jr.",Haisty,"Haisty, Sherwood Ellsworth, Jr.",,R,13137,7.72224148978068%,,,,,,,,,,,
194,CA,California,06,n/a,,,,,District Votes:,,170119,,,,313114,,,,,,,,
195,CA,California,07,H0CA03078,(I),Ami,Bera,"Bera, Ami",,D,106124,50.3207757414827%,,,217416,56.6239110335578%,,,,,W,W,
196,CA,California,07,H0CA07137,,Buzz,Patterson,"Patterson, Buzz",,R,70803,33.5726309300837%,,,166549,43.3760889664423%,,,,,W,,
197,CA,California,07,H0CA07129,,Jeff,Burdick,"Burdick, Jeff",,D,15114,7.16659949263852%,,,,,,,,,,,
198,CA,California,07,H0CA07152,,Jon,Ivy,"Ivy, Jon",,R,14017,6.6464354299533%,,,,,,,,,,,
199,CA,California,07,H0CA07145,,Chris,Richardson,"Richardson, Chris",,GRE,4837,2.29355840584177%,,,,,,,,,,,
200,CA,California,07,n/a,,,,,District Votes:,,210895,,,,383965,,,,,,,,
201,CA,California,08,H0CA08135,,Jay,Obernolte,"Obernolte, Jay",,R,50677,34.9477270219574%,,,158711,56.0596373860429%,,,,,W,W,
202,CA,California,08,H0CA08101,,Christine,Bubser,"Bubser, Christine",,D,41595,28.6846242965905%,,,124400,43.9403626139571%,,,,,W,,
203,CA,California,08,H8CA08120,,Tim,Donnelly,"Donnelly, Tim",,R,30079,20.7429934900143%,,,,,,,,,,,
204,CA,California,08,H0CA08143,,Bob ,Conaway,"Conaway, Bob ",,D,9053,6.24310382875428%,,,,,,,,,,,
205,CA,California,08,H0CA08168,,Jeff,Esmus,"Esmus, Jeff",,NOP,4042,2.78743241752179%,,,,,,,,,,,
206,CA,California,08,H0CA08150,,James,Ellars,"Ellars, James",,D,3948,2.72260840781198%,,,,,,,,,,,
207,CA,California,08,H0CA08127,,Jeremy,Staat,"Staat, Jeremy",,R,2288,1.57784398102174%,,,,,,,,,,,
208,CA,California,08,H0CA08200,,Jerry,Laws,"Laws, Jerry",,R,2010,1.3861304203906%,,,,,,,,,,,
209,CA,California,08,H0CA08218,,Justin David,Whitehead,"Whitehead, Justin David",,R,1305,0.899950347567031%,,,,,,,,,,,
210,CA,California,08,H0CA08184,,J.,Green,"Green, J.",,W(NOP),11,0.00758578837029681%,,,,,,,,,,,
211,CA,California,08,n/a,,,,,District Votes:,,145008,,,,283111,,,,,,,,
212,CA,California,09,H4CA11081,(I),Jerry,McNerney,"McNerney, Jerry",,D,86556,57.0216410290194%,,,174252,57.5830276593635%,,,,,W,W,
213,CA,California,09,H0CA09125,,Antonio C. 'Tony',Amador,"Amador, Antonio C. 'Tony'",,R,45962,30.278994696795%,,,128358,42.4169723406365%,,,,,W,,
214,CA,California,09,H0CA09109,,William,Martinek,"Martinek, William",,R,19255,12.6848710431832%,,,,,,,,,,,
215,CA,California,09,n/a,,Crystal Sawyer,White,"White, Crystal Sawyer",,W(D),22,0.0144932310023387%,,,,,,,,,,,
216,CA,California,09,n/a,,,,,District Votes:,,151795,,,,302610,,,,,,,,
217,CA,California,10,H8CA10126,(I),Josh,Harder,"Harder, Josh",,D,69668,44.0685685369094%,,,166865,55.1630776147626%,,,,,W,W,
218,CA,California,10,H8CA10209,,Ted,Howze,"Howze, Ted",,R,53574,33.888291479537%,,,135629,44.8369223852374%,,,,,W,,
219,CA,California,10,H0CA10271,,Bob ,Elliott,"Elliott, Bob ",,R,20481,12.9552786387501%,,,,,,,,,,,
