1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, GU, LA)","GE RUNOFF ELECTION % (GA, GU, LA)","COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES
962,HI,Hawaii,H,n/a,,,,,Total State Votes:,,340879,,,,526535,,,,,,,,
963,,,,n/a,,,,,,,,,,,,,,,,,,,
964,ID,Idaho,01,H8ID01124,(I),Russ,Fulcher,"Fulcher, Russ",,R,93879,79.8745884134669%,,,310736,67.7610690485329%,,,,,W,W,
965,ID,Idaho,01,H0ID01303,,Nicholas,Jones,"Jones, Nicholas",,R,23654,20.1254115865331%,,,,,,,,,,,
966,ID,Idaho,01,n/a,,,,,Party Votes:,R,117533,,,,,,,,,,,,
967,ID,Idaho,01,H0ID01311,,Rudy,Soto,"Soto, Rudy",,D,25112,65.7623212695752%,,,131380,28.6495586336834%,,,,,W,,
968,ID,Idaho,01,H6ID01276,,Staniela,Nikolova,"Nikolova, Staniela",,D,13074,34.2376787304248%,,,,,,,,,,,
969,ID,Idaho,01,n/a,,,,,Party Votes:,D,38186,,,,,,,,,,,,
970,ID,Idaho,01,H0ID01295,,Joe,Evans,"Evans, Joe",,LIB,Unopposed,,,,16453,3.58784585325006%,,,,,W,,
971,ID,Idaho,01,H2ID01150,,,Pro-Life,Pro-Life,,W,,,,,7,0.00152646453368689%,,,,,,,
972,ID,Idaho,01,n/a,,,,,District Votes:,,155719,,,,458576,,,,,,,,
973,ID,Idaho,02,H8ID02064,(I),Mike,Simpson,"Simpson, Mike",,R,68675,71.9871277476703%,,,250669,64.0551652940079%,,,,,W,W,
974,ID,Idaho,02,H0ID02129,,Kevin,Rhoades,"Rhoades, Kevin",,R,26724,28.0128722523297%,,,,,,,,,,,
975,ID,Idaho,02,n/a,,,,,Party Votes:,R,95399,,,,,,,,,,,,
976,ID,Idaho,02,H8ID02148,,C. Aaron,Swisher,"Swisher, C. Aaron",,D,37493,100%,,,124151,31.7251547914436%,,,,,W,,
977,ID,Idaho,02,n/a,,,,,Party Votes:,D,37493,,,,,,,,,,,,
978,ID,Idaho,02,H2ID01150,,,"Pro-Life (a person, formerly known as Marvin Richardson)","Pro-Life (a person, formerly known as Marvin Richardson)",,CON,Unopposed,,,,8573,2.19071736858379%,,,,,W,,
979,ID,Idaho,02,H0ID02111,,Idaho Sierra,Law,"Law, Idaho Sierra",,LIB,Unopposed,,,,7940,2.02896254596469%,,,,,W,,
980,ID,Idaho,02,n/a,,,,,District Votes:,,132892,,,,391333,,,,,,,,
981,ID,Idaho,H,n/a,,,,,Total State Votes:,,288611,,,,849909,,,,,,,,
982,,,,n/a,,,,,,,,,,,,,,,,,,,
983,IL,Illinois,01,H2IL01042,(I),Bobby L.,Rush,"Rush, Bobby L.",,D,94863,71.4959716014863%,,,239943,73.800684663958%,,,,,W,W,
984,IL,Illinois,01,H0IL01186,,Sarah,Gad,"Gad, Sarah",,D,13783,10.3879170654869%,,,,,,,,,,,
985,IL,Illinois,01,H0IL01178,,"Robert, Jr.",Emmons,"Emmons, Robert, Jr.",,D,13628,10.2710972769684%,,,,,,,,,,,
986,IL,Illinois,01,H0IL01210,,Ameena Nurr,Matthews,"Matthews, Ameena Nurr",,D,10409,7.84501405605842%,,,,,,,,,,,
987,IL,Illinois,01,n/a,,,,,Party Votes:,D,132683,,,,,,,,,,,,
988,IL,Illinois,01,H0IL01194,,Philanise,White,"White, Philanise",,R,10134,99.990133201776%,,,85027,26.1522562230294%,,,,,W,,
989,IL,Illinois,01,H6IL05184,,Richard,Mayers,"Mayers, Richard",,W(R),1,0.00986679822397632%,,,,,,,,,,,
990,IL,Illinois,01,n/a,,,,,Party Votes:,R,10135,,,,,,,,,,,,
991,IL,Illinois,01,H0IL01228,,Ruth,Pellegrini,"Pellegrini, Ruth",,W,,,,,153,0.0470591130126137%,,,,,,,
992,IL,Illinois,01,n/a,,,,,District Votes:,,142818,,,,325123,,,,,,,,
993,IL,Illinois,02,H2IL02172,(I),Robin,Kelly,"Kelly, Robin",,D,94767,84.8338092723057%,,,234896,78.8141109522947%,,,,,W,W,
994,IL,Illinois,02,H2IL02156,,Marcus,Lewis,"Lewis, Marcus",,D,16942,15.1661907276943%,,,,,,,,,,,
995,IL,Illinois,02,n/a,,,,,Party Votes:,D,111709,,,,,,,,,,,,
996,IL,Illinois,02,H0IL02127,,Theresa J. ,Raborn,"Raborn, Theresa J. ",,R,12181,100%,,,63142,21.1858890477053%,,,,,W,,
997,IL,Illinois,02,n/a,,,,,Party Votes:,R,12181,,,,,,,,,,,,
998,IL,Illinois,02,n/a,,,,,District Votes:,,123890,,,,298038,,,,,,,,
999,IL,Illinois,03,H8IL03102,,Marie,Newman,"Newman, Marie",,D,52384,47.2558005268286%,,,172997,56.3787282302638%,,,,,W,W,
1000,IL,Illinois,03,H4IL03077,(I),Daniel William,Lipinski,"Lipinski, Daniel William",,D,49568,44.7154764911774%,,,,,,,,,,,
1001,IL,Illinois,03,H0IL03109,,Rush,Darwish,"Darwish, Rush",,D,6351,5.72926063580269%,,,,,,,,,,,
1002,IL,Illinois,03,H0IL03133,,Charles M. ,Hughes,"Hughes, Charles M. ",,D,2549,2.29946234619132%,,,,,,,,,,,
1003,IL,Illinois,03,n/a,,,,,Party Votes:,D,110852,,,,,,,,,,,,
1004,IL,Illinois,03,H0IL03117,,Mike,Fricilone,"Fricilone, Mike",,R,9804,57.4846086191733%,,,133851,43.6212717697362%,,,,,W,,
