1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
2,AL,Alabama,01,H4AL01123,(I),Bradley,Byrne,"Byrne, Bradley",,R,Unopposed,,,,103758,68.1569163261821%,,,,,W,
3,AL,Alabama,01,H4AL01156,,Burton R.,LeFlore,"LeFlore, Burton R.",,D,Unopposed,,,,48278,31.7130207443804%,,,,,,
4,AL,Alabama,01,n/a,,,,Scattered,,W,,,,,198,0.130062929437576%,,,,,,
5,AL,Alabama,01,n/a,,,,,District Votes:,,,,,,152234,,,,,,,
6,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
7,AL,Alabama,02,H0AL02087,(I),Martha,Roby,"Roby, Martha",,R,Unopposed,,,,113103,67.3424549871392%,,,,,W,
8,AL,Alabama,02,H4AL02071,,Erick,Wright,"Wright, Erick",,D,Unopposed,,,,54692,32.5640659235972%,,,,,,
9,AL,Alabama,02,n/a,,,,Scattered,,W,,,,,157,0.0934790892635991%,,,,,,
10,AL,Alabama,02,n/a,,,,,District Votes:,,,,,,167952,,,,,,,
11,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
12,AL,Alabama,03,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,R,50372,75.8945925178165%,,,103558,66.1205465457796%,,,,,W,
13,AL,Alabama,03,H4AL03053,,Thomas,Casson,"Casson, Thomas",,R,15999,24.1054074821835%,,,,,,,,,,
14,AL,Alabama,03,n/a,,,,,Party Votes:,R,66371,,,,,,,,,,,
15,AL,Alabama,03,H4AL03061,,Jesse T.,Smith,"Smith, Jesse T.",,D,Unopposed,,,,52816,33.7223853913932%,,,,,,
16,AL,Alabama,03,n/a,,,,Scattered,,W,,,,,246,0.157068062827225%,,,,,,
17,AL,Alabama,03,n/a,,,,,District Votes:,,66371,,,,156620,,,,,,,
18,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
19,AL,Alabama,04,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,R,Unopposed,,,,132831,98.5744181904536%,,,,,W,
20,AL,Alabama,04,n/a,,,,Scattered,,W,,,,,1921,1.42558180954643%,,,,,,
21,AL,Alabama,04,n/a,,,,,District Votes:,,,,,,134752,,,,,,,
22,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
23,AL,Alabama,05,H0AL05163,(I),Mo,Brooks,"Brooks, Mo",,R,49117,80.3155915297196%,,,115338,74.4240969452941%,,,,,W,
24,AL,Alabama,05,H4AL05074,,Jerry,Hill,"Hill, Jerry",,R,12038,19.6844084702804%,,,,,,,,,,
25,AL,Alabama,05,n/a,,,,,Party Votes:,R,61155,,,,,,,,,,,
26,AL,Alabama,05,H4AL05082,,Mark,Bray,"Bray, Mark",,IND,,,,,39005,25.168737981855%,,,,,,
