1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
27,AL,Alabama,05,n/a,,,,Scattered,,W,,,,,631,0.40716507285093%,,,,,,
28,AL,Alabama,05,n/a,,,,,District Votes:,,61155,,,,154974,,,,,,,
29,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
30,AL,Alabama,06,H4AL06098,,Gary,Palmer,"Palmer, Gary",,R,18655,19.7336408064823%,47525,63.4868684709717%,135945,76.1814299884001%,,,,,W,
31,AL,Alabama,06,H4AL06080,,Paul,DeMarco,"DeMarco, Paul",,R,30894,32.6803054985508%,27333,36.5131315290283%,,,,,,,,
32,AL,Alabama,06,H2AL06126,,Scott,Beason,"Beason, Scott",,R,14451,15.2865635644318%,,,,,,,,,,
33,AL,Alabama,06,H4AL06072,,Chad,Mathis,"Mathis, Chad",,R,14420,15.2537711299638%,,,,,,,,,,
34,AL,Alabama,06,H4AL06106,,Will,Brooke,"Brooke, Will",,R,13130,13.8891827279074%,,,,,,,,,,
35,AL,Alabama,06,H4AL06114,,Tom,Vigneulle,"Vigneulle, Tom",,R,2397,2.5355956587048%,,,,,,,,,,
36,AL,Alabama,06,H4AL06122,,Robert,Shattuck,"Shattuck, Robert",,R,587,0.620940613958999%,,,,,,,,,,
37,AL,Alabama,06,n/a,,,,,Party Votes:,R,94534,,74858,,,,,,,,,
38,AL,Alabama,06,H4AL06148,,Mark,Lester,"Lester, Mark #",,D,#,,,,42291,23.6992081771262%,,,,,,# Avery Vise withdrew after the primary election and Mark Lester was selected by the party to fill the vacancy on the general election ballot.
39,AL,Alabama,06,H4AL06130,,Avery,Vise,"Vise, Avery #",,D,Unopposed,,,,,,,,,,,# Avery Vise withdrew after the primary election and Mark Lester was selected by the party to fill the vacancy on the general election ballot.
40,AL,Alabama,06,n/a,,,,Scattered,,W,,,,,213,0.119361834473715%,,,,,,
41,AL,Alabama,06,n/a,,,,,District Votes:,,94534,,74858,,178449,,,,,,,
42,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
43,AL,Alabama,07,H0AL07086,(I),Terri A.,Sewell,"Sewell, Terri A.",,D,74953,83.9085606815409%,,,133687,98.3723206204608%,,,,,W,
44,AL,Alabama,07,H4AL07096,,Tamara Harris,Johnson,"Johnson, Tamara Harris",,D,14374,16.0914393184591%,,,,,,,,,,
45,AL,Alabama,07,n/a,,,,,Party Votes:,D,89327,,,,,,,,,,,
46,AL,Alabama,07,n/a,,,,Scattered,,W,,,,,2212,1.62767937953922%,,,,,,
47,AL,Alabama,07,n/a,,,,,District Votes:,,89327,,,,135899,,,,,,,
48,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
49,AL,Alabama,H,n/a,,,,,Total State Votes:,,311387,,74858,,1080880,,,,,,,
50,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
51,,,,n/a,,,,,,,,,,,,,,,,,,
52,AK,Alaska,00,H6AK00045,(I),Don,Young,"Young, Don",,R,79393,74.2914089475704%,,,142572,50.9657147146825%,,,,,W,
53,AK,Alaska,00,H0AK00097,,John R.,Cox,"Cox, John R.",,R,14497,13.5654598706804%,,,,,,,,,,
54,AK,Alaska,00,H4AK00149,,David  ,Seaward,"Seaward, David  ",,R,7604,7.11538641488954%,,,,,,,,,,
55,AK,Alaska,00,H4AK00131,,"David F. ""Dave""",Dohner,"Dohner, David F. ""Dave""",,R,5373,5.02774476685974%,,,,,,,,,,
56,AK,Alaska,00,n/a,,,,,Party Votes:,R,106867,,,,,,,,,,,
57,AK,Alaska,00,H4AK00123,,Forrest ,Dunbar,"Dunbar, Forrest ",,D,38735,80.9221384252199%,,,114602,40.9671803561151%,,,,,,
58,AK,Alaska,00,H4AK00057,,Frank J.,Vondersaar,"Vondersaar, Frank J.",,D,9132,19.0778615747801%,,,,,,,,,,
59,AK,Alaska,00,n/a,,,,,Party Votes:,D,47867,,,,,,,,,,,
60,AK,Alaska,00,H2AK00143,,Jim C.,McDermott,"McDermott, Jim C.",,LIB,13437,100%,,,21290,7.6106112439721%,,,,,,
61,AK,Alaska,00,n/a,,,,,Party Votes:,LIB,13437,,,,,,,,,,,
62,AK,Alaska,00,n/a,,,,Scattered,,W,,,,,1277,0.456493685230267%,,,,,,
63,AK,Alaska,00,n/a,,,,,District Votes:,,168171,,,,279741,,,,,,,
64,AK,Alaska,H,n/a,,,,,Total State Votes:,,168171,,,,279741,,,,,,,
65,AK,Alaska,,n/a,,,,,,,,,,,,,,,,,,
66,AK,Alaska,,n/a,,,,,,,,,,,,,,,,,,
67,,,,n/a,,,,,,,,,,,,,,,,,,
68,AS,American Samoa,00,H4AS00036,,Aumua,Amata,"Amata, Aumua",,R,,,,,4306,42.0261565488971%,,,,,W,
69,AS,American Samoa,00,H0AS00018,(I),Eni F. H.,Faleomavaega,"Faleomavaega, Eni F. H.",,D,,,,,3157,30.8120242045676%,,,,,,
70,AS,American Samoa,00,H4AS00085,,Togiola,Tulafono,"Tulafono, Togiola",,D,,,,,1130,11.0286941245364%,,,,,,
71,AS,American Samoa,00,H4AS00069,,Mapu S.,Jamias,"Jamias, Mapu S.",,D,,,,,652,6.36345891079446%,,,,,,
72,AS,American Samoa,00,H8AS00052,,Rosie Fuala'au Tago,Lancaster,"Lancaster, Rosie Fuala'au Tago",,IND,,,,,268,2.61565488971306%,,,,,,
73,AS,American Samoa,00,H4AS00093,,Meleagi,Suitonu-Chapman,"Suitonu-Chapman, Meleagi",,D,,,,,229,2.23501854382198%,,,,,,
74,AS,American Samoa,00,H2AS00030,,Tuika,Tuika,"Tuika, Tuika",,IND,,,,,201,1.96174116728479%,,,,,,
75,AS,American Samoa,00,H2AS00055,,"Tu?'au Kereti, Jr.",M?ta'utia,"M?ta'utia, Tu?'au Kereti, Jr.",,D,,,,,160,1.56158500878392%,,,,,,
76,AS,American Samoa,00,H4AS00077,,Mark,Ude,"Ude, Mark",,IND,,,,,143,1.39566660160062%,,,,,,
77,AS,American Samoa,,n/a,,,,,District Votes:,,,,,,10246,,,,,,,
78,AS,American Samoa,H,n/a,,,,,Total State Votes:,,,,,,10246,,,,,,,
79,,,,n/a,,,,,,,,,,,,,,,,,,
80,AZ,Arizona,01,H8AZ01104 ,(I),Ann,Kirkpatrick,"Kirkpatrick, Ann",,D,51393,100%,,,97391,52.6113638082479%,,,,,W,
81,AZ,Arizona,01,n/a,,,,,Party Votes:,D,51393,,,,,,,,,,,
82,AZ,Arizona,01,H0AZ01325 ,,Andy,Tobin,"Tobin, Andy",,R,18814,35.8450663973936%,,,87723,47.3886361917521%,,,,,,
83,AZ,Arizona,01,H4AZ01145 ,,Gary,Kiehne,"Kiehne, Gary",,R,18407,35.0696362908911%,,,,,,,,,,
84,AZ,Arizona,01,H4AZ01152 ,,Adam,Kwasman,"Kwasman, Adam",,R,15266,29.0852973117153%,,,,,,,,,,
85,AZ,Arizona,01,n/a,,,,,Party Votes:,R,52487,,,,,,,,,,,
86,AZ,Arizona,01,n/a,,,,,District Votes:,,103880,,,,185114,,,,,,,
87,AZ,Arizona,02,H2AZ08102 ,,Martha ,McSally,"McSally, Martha ",,R,45492,69.3581338618692%,,,109714,50.014359628929%,,,,,W,
88,AZ,Arizona,02,H4AZ02143 ,,Chuck,Wooten,"Wooten, Chuck",,R,14995,22.8617167251105%,,,,,,,,,,
89,AZ,Arizona,02,H4AZ02135 ,,Shelley,Kais,"Kais, Shelley",,R,5103,7.78014941302028%,,,,,,,,,,
90,AZ,Arizona,02,n/a,,,,,Party Votes:,R,65590,,,,,,,,,,,
91,AZ,Arizona,02,H2AZ08094,(I),Ron,Barber,"Barber, Ron",,D,49039,100%,,,109547,49.9382308025437%,,,,,,
92,AZ,Arizona,02,n/a,,,,,Party Votes:,D,49039,,,,,,,,,,,
93,AZ,Arizona,02,H4AZ02150,,Sampson U.,Ramirez,"Ramirez, Sampson U.",,W,,,,,56,0.0255282292070294%,,,,,,
94,AZ,Arizona,02,H4AZ02168,,Sydney,Dudikoff,"Dudikoff, Sydney",,W,,,,,48,0.0218813393203109%,,,,,,
95,AZ,Arizona,02,n/a,,,,,District Votes:,,114629,,,,219365,,,,,,,
96,AZ,Arizona,03,H2AZ07070 ,(I),Raul ,Grijalva,"Grijalva, Raul ",,D,28758,100%,,,58192,55.7245183284177%,,,,,W,
97,AZ,Arizona,03,n/a,,,,,Party Votes:,D,28758,,,,,,,,,,,
98,AZ,Arizona,03,H2AZ07146,,Gabby,Saucedo Mercer,"Saucedo Mercer, Gabby",,R,18823,100%,,,46185,44.2266441950435%,,,,,,
99,AZ,Arizona,03,n/a,,,,,Party Votes:,R,18823,,,,,,,,,,,
100,AZ,Arizona,03,H4AZ03075,,F.,S nchez,"S nchez, F.",,W,,,,,43,0.0411766959053128%,,,,,,
101,AZ,Arizona,03,H4AZ03083 ,,Lee,Thompson,"Thompson, Lee",,W,,,,,8,0.00766078063354656%,,,,,,
102,AZ,Arizona,03,n/a,,,,,District Votes:,,47581,,,,104428,,,,,,,
103,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
104,AZ,Arizona,04,H0AZ01259 ,(I),Paul,Gosar,"Gosar, Paul",,R,65354,100%,,,122560,69.9627238424697%,,,,,W,
105,AZ,Arizona,04,n/a,,,,,Party Votes:,R,65354,,,,,,,,,,,
106,AZ,Arizona,04,H2AZ04143,,Mike,Weisser,"Weisser, Mike",,D,19643,100%,,,45179,25.7901917467276%,,,,,,
107,AZ,Arizona,04,n/a,,,,,Party Votes:,D,19643,,,,,,,,,,,
108,AZ,Arizona,04,H4AZ04099,,Chris,Rike,"Rike, Chris",,W(LIB)/LIB,29,100%,,,7440,4.24708441080266%,,,,,,
109,AZ,Arizona,04,n/a,,,,,Party Votes:,LIB,29,,,,,,,,,,,
110,AZ,Arizona,04,n/a,,,,,District Votes:,,85026,,,,175179,,,,,,,
111,AZ,Arizona,05,H4AZ01038 ,(I),Matt,Salmon,"Salmon, Matt",,R,71690,100%,,,124867,69.5781303109833%,,,,,W,
112,AZ,Arizona,05,n/a,,,,,Party Votes:,R,71690,,,,,,,,,,,
113,AZ,Arizona,05,H4AZ05088,,James,Woods,"Woods, James",,D,20249,100%,,,54596,30.4218696890167%,,,,,,
114,AZ,Arizona,05,n/a,,,,,Party Votes:,D,20249,,,,,,,,,,,
115,AZ,Arizona,05,n/a,,,,,District Votes:,,91939,,,,179463,,,,,,,
116,AZ,Arizona,06,H4AZ06045,(I),David ,Schweikert,"Schweikert, David ",,R,69902,100%,,,129578,64.8616450424476%,,,,,W,
117,AZ,Arizona,06,n/a,,,,,Party Votes:,R,69902,,,,,,,,,,,
118,AZ,Arizona,06,H2AZ05132,,W. John,Williamson,"Williamson, W. John",,D,25306,100%,,,70198,35.1383549575525%,,,,,,
119,AZ,Arizona,06,n/a,,,,,Party Votes:,D,25306,,,,,,,,,,,
120,AZ,Arizona,06,n/a,,,,,District Votes:,,95208,,,,199776,,,,,,,
121,AZ,Arizona,07,H4AZ07043 ,,Ruben,Gallego,"Gallego, Ruben",,D,14936,48.9031497609849%,,,54235,74.8543903718221%,,,,,W,
122,AZ,Arizona,07,H4AZ07068,,Mary Rose,Wilcox,"Wilcox, Mary Rose",,D,11077,36.2680898434942%,,,,,,,,,,
123,AZ,Arizona,07,H2AZ02220 ,,Randy ,Camacho,"Camacho, Randy ",,D,2330,7.62883897583655%,,,,,,,,,,
124,AZ,Arizona,07,H4AZ07076,,Jarrett,Maupin,"Maupin, Jarrett",,D,2199,7.19992141968437%,,,,,,,,,,
125,AZ,Arizona,07,n/a,,,,,Party Votes:,D,30542,,,,,,,,,,,
126,AZ,Arizona,07,H6AZ07022,,Joe,Cobb,"Cobb, Joe",,LIB,300,100%,,,10715,14.7886935158859%,,,,,,
127,AZ,Arizona,07,n/a,,,,,Party Votes:,LIB,300,,,,,,,,,,,
128,AZ,Arizona,07,H8AZ04116,,Rebecca,DeWitt,"DeWitt, Rebecca",,W(AE)/AE,4,100%,,,3858,5.32475777734839%,,,,,,
129,AZ,Arizona,07,n/a,,,,,Party Votes:,AE,4,,,,,,,,,,,
130,AZ,Arizona,07,H0AZ04501,,Jos‚,Pe¤alosa,"Pe¤alosa, Jos‚",,JP,,,,,3496,4.82513042758164%,,,,,,
131,AZ,Arizona,07,H4AZ07126,,Gary,Dunn,"Dunn, Gary",,W,,,,,129,0.178044000331245%,,,,,,
132,AZ,Arizona,07,H4AZ07118,,Gustavo,Ortega,"Ortega, Gustavo",,W,,,,,17,0.0234631628343501%,,,,,,
133,AZ,Arizona,07,H4AZ07100,,Samuel,Esquivel,"Esquivel, Samuel",,W,,,,,4,0.00552074419631766%,,,,,,
134,AZ,Arizona,07,n/a,,,,,District Votes:,,30846,,,,72454,,,,,,,
135,AZ,Arizona,08,H4AZ04024,(I),Trent,Franks,"Franks, Trent",,R,53771,73.2574931880109%,,,128710,75.8116577136933%,,,,,W,
136,AZ,Arizona,08,H4AZ08066,,Clair,Van Steenwyk,"Van Steenwyk, Clair",,R,19629,26.7425068119891%,,,,,,,,,,
137,AZ,Arizona,08,n/a,,,,,Party Votes:,R,73400,,,,,,,,,,,
138,AZ,Arizona,08,H2AZ08151,,Stephen,Dolgos,"Dolgos, Stephen",,W(AE)/AE,2,100%,,,41066,24.1883422863067%,,,,,,
139,AZ,Arizona,08,n/a,,,,,Party Votes:,AE,2,,,,,,,,,,,
140,AZ,Arizona,08,n/a,,,,,District Votes:,,73402,,,,169776,,,,,,,
141,AZ,Arizona,09,H2AZ09019 ,(I),Kyrsten,Sinema,"Sinema, Kyrsten",,D,31900,100%,,,88609,54.6759882020461%,,,,,W,
142,AZ,Arizona,09,n/a,,,,,Party Votes:,D,31900,,,,,,,,,,,
143,AZ,Arizona,09,H2AZ09035 ,,Wendy,Rogers,"Rogers, Wendy",,R,30484,60.6140141573212%,,,67841,41.8611395638706%,,,,,,
144,AZ,Arizona,09,H4AZ09023 ,,Andrew,Walter,"Walter, Andrew",,R,19808,39.3859858426788%,,,,,,,,,,
145,AZ,Arizona,09,n/a,,,,,Party Votes:,R,50292,,,,,,,,,,,
146,AZ,Arizona,09,H4AZ02119,,Powell,Gammill,"Gammill, Powell",,W(LIB)/LIB,52,100%,,,5612,3.46287223408325%,,,,,,
147,AZ,Arizona,09,n/a,,,,,Party Votes:,LIB,52,,,,,,,,,,,
148,AZ,Arizona,09,n/a,,,,,District Votes:,,82244,,,,162062,,,,,,,
149,AZ,Arizona,H,n/a,,,,,Total State Votes:,,724755,,,,1467617,,,,,,,
150,,,,n/a,,,,,,,,,,,,,,,,,,
151,AR,Arkansas,01,H0AR01083,(I),Rick ,Crawford,"Crawford, Rick ",,R,Unopposed,,,,124139,63.2536075330181%,,,,,W,
152,AR,Arkansas,01,H4AR01051 ,,Jackie,McPherson,"McPherson, Jackie",,D,Unopposed,,,,63555,32.3837233001794%,,,,,,
153,AR,Arkansas,01,H4AR01069,,Brian Scott,Willhite,"Willhite, Brian Scott",,LIB,Unopposed,,,,8562,4.36266916680254%,,,,,,
154,AR,Arkansas,01,n/a,,,,,District Votes:,,,,,,196256,,,,,,,
155,AR,Arkansas,02,H4AR02141 ,,French ,Hill,"Hill, French ",,R,29916,55.0837783097036%,,,123073,51.8573294568744%,,,,,W,
156,AR,Arkansas,02,H4AR02158 ,,Ann,Clemmer,"Clemmer, Ann",,R,12400,22.8318909961333%,,,,,,,,,,
157,AR,Arkansas,02,H4AR02166 ,,Conrad,Reynolds,"Reynolds, Conrad",,R,11994,22.0843306941631%,,,,,,,,,,
158,AR,Arkansas,02,n/a,,,,,Party Votes:,R,54310,,,,,,,,,,,
159,AR,Arkansas,02,H4AR02133 ,,Patrick Henry,Hays,"Hays, Patrick Henry",,D,Unopposed,,,,103477,43.6004719167404%,,,,,,
160,AR,Arkansas,02,H4AR02174 ,,Debbie ,Standiford,"Standiford, Debbie ",,LIB,Unopposed,,,,10590,4.46214132220958%,,,,,,
161,AR,Arkansas,02,H4AR02182 ,,Charles,Neely,"Neely, Charles",,W,,,,,190,0.0800573041756204%,,,,,,
162,AR,Arkansas,02,n/a,,,,,District Votes:,,54310,,,,237330,,,,,,,
163,AR,Arkansas,03,H0AR03055 ,(I),Steve,Womack,"Womack, Steve",,R,Unopposed,,,,151630,79.414460418467%,,,,,W,
164,AR,Arkansas,03,H4AR03057,,Grant ,Brand,"Brand, Grant ",,LIB,Unopposed,,,,39305,20.585539581533%,,,,,,
165,AR,Arkansas,03,n/a,,,,,District Votes:,,,,,,190935,,,,,,,
166,AR,Arkansas,04,H4AR04048 ,,Bruce,Westerman,"Westerman, Bruce",,R,18719,54.4505206818314%,,,110789,53.7468891142041%,,,,,W,
167,AR,Arkansas,04,H4AR04055 ,,Tommy ,Moll,"Moll, Tommy ",,R,15659,45.5494793181686%,,,,,,,,,,
168,AR,Arkansas,04,n/a,,,,,Party Votes:,R,34378,,,,,,,,,,,
169,AR,Arkansas,04,H4AR04063 ,,James Lee,Witt,"Witt, James Lee",,D,Unopposed,,,,87742,42.5661351276615%,,,,,,
170,AR,Arkansas,04,H4AR04071,,Ken,Hamilton,"Hamilton, Ken",,LIB,Unopposed,,,,7598,3.68600550135593%,,,,,,
171,AR,Arkansas,04,H4AR04030 ,,Janis K.,Percefull,"Percefull, Janis K.",,W,,,,,2,0.000970256778456419%,,,,,,
172,AR,Arkansas,04,n/a,,,,,District Votes:,,34378,,,,206131,,,,,,,
173,AR,Arkansas,H,n/a,,,,,Total State Votes:,,88688,,,,830652,,,,,,,
174,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
175,,,,n/a,,,,,,,,,,,,,,,,,,
176,CA,California,01,H2CA02142,(I),Doug,La Malfa,"La Malfa, Doug",,R,75317,53.4466363894408%,,,132052,61.0300778289243%,,,,,W,
177,CA,California,01,H4CA01066,,Heidi,Hall,"Hall, Heidi",,D,42481,30.1454726085722%,,,84320,38.9699221710757%,,,,,,
178,CA,California,01,H2CA01136,,Gregory,Cheadle,"Cheadle, Gregory",,R,13909,9.87013908600625%,,,,,,,,,,
179,CA,California,01,H4CA01074,,Dan,Levine,"Levine, Dan",,D,9213,6.5377519159807%,,,,,,,,,,
180,CA,California,01,n/a,,,,,District Votes:,,140920,,,,216372,,,,,,,
181,CA,California,02,H2CA06259,(I),Jared,Huffman,"Huffman, Jared",,D,99186,67.9146838303263%,,,163124,74.9912653316416%,,,,,W,
182,CA,California,02,H4CA02098,,Dale K.,Mensing,"Mensing, Dale K.",,R,32614,22.3314731760759%,,,54400,25.0087346683584%,,,,,,
183,CA,California,02,H2CA02118,,Andy,Caffrey,"Caffrey, Andy",,D,14245,9.75384299359786%,,,,,,,,,,
184,CA,California,02,n/a,,,,,District Votes:,,146045,,,,217524,,,,,,,
185,CA,California,03,H0CA10149,(I),John,Garamendi,"Garamendi, John",,D,54672,53.4783629391971%,,,79224,52.7246106748303%,,,,,W,
186,CA,California,03,H4CA03096,,Dan,Logue,"Logue, Dan",,R,47560,46.5216370608029%,,,71036,47.2753893251697%,,,,,,
187,CA,California,03,n/a,,,,,District Votes:,,102232,,,,150260,,,,,,,
188,CA,California,04,H8CA04152,(I),Tom,McClintock,"McClintock, Tom",,R,80999,56.1892143124714%,,,126784,60.0490683641668%,,,,,W,
189,CA,California,04,H4CA04102,,"Arthur ""Art""",Moore,"Moore, Arthur ""Art""",,R,32855,22.7915978744953%,,,84350,39.9509316358332%,,,,,,
190,CA,California,04,H4CA04110,,Jeffrey D.,Gerlach,"Gerlach, Jeffrey D.",,NOP,30300,21.0191878130333%,,,,,,,,,,
191,CA,California,04,n/a,,,,,District Votes:,,144154,,,,211134,,,,,,,
192,CA,California,05,H8CA01109,(I),Mike,Thompson,"Thompson, Mike",,D,88709,80.4397896264055%,,,129613,75.7315306050903%,,,,,W,
193,CA,California,05,H4CA05257,,James,Hinton,"Hinton, James",,NOP,12292,11.1461733768589%,,,41535,24.2684693949097%,,,,,,
194,CA,California,05,H4CA11099,,Douglas S.,Van Raam,"Van Raam, Douglas S.",,NOP,9279,8.41403699673558%,,,,,,,,,,
195,CA,California,05,n/a,,,,,District Votes:,,110280,,,,171148,,,,,,,
196,CA,California,06,H6CA05195,(I),Doris,Matsui,"Matsui, Doris",,D,62640,73.6031960519359%,,,97008,72.6891260040763%,,,,,W,
197,CA,California,06,H2CA06291,,"Joseph, Sr.",McCray,"McCray, Joseph, Sr.",,R,22465,26.3968039480642%,,,36448,27.3108739959238%,,,,,,
198,CA,California,06,n/a,,,,,District Votes:,,85105,,,,133456,,,,,,,
199,CA,California,07,H0CA03078,(I),Ami,Bera,"Bera, Ami",,D,51878,46.7209423800861%,,,92521,50.3962698883908%,,,,,W,
200,CA,California,07,H8CA03105,,Doug,Ose,"Ose, Doug",,R,29307,26.3936670329077%,,,91066,49.6037301116092%,,,,,,
201,CA,California,07,H4CA07055,,Igor,Birman,"Birman, Igor",,R,19431,17.4994146148166%,,,,,,,,,,
202,CA,California,07,H0CA11352,,Elizabeth,Emken,"Emken, Elizabeth",,R,7924,7.13629568255912%,,,,,,,,,,
203,CA,California,07,H8CA05134,,Douglas Arthur,Tuma,"Tuma, Douglas Arthur",,LIB,1629,1.46706532898647%,,,,,,,,,,
204,CA,California,07,H4CA07063,,Phill A.,Tufi,"Tufi, Phill A.",,NOP,869,0.782614960644104%,,,,,,,,,,
205,CA,California,07,n/a,,,,,District Votes:,,111038,,,,183587,,,,,,,
206,CA,California,08,H2CA08164,(I),Paul,Cook,"Cook, Paul",,R,40007,58.0998852728038%,,,77480,67.6468533910736%,,,,,W,
207,CA,California,08,H6CA40234,,Bob,Conaway,"Conaway, Bob",,D,12885,18.7121509170914%,,,37056,32.3531466089265%,,,,,,
208,CA,California,08,H4CA08103,,Paul,Hannosh,"Hannosh, Paul",,R,9037,13.1239198942767%,,,,,,,,,,
209,CA,California,08,H4CA08129,,Odessia D.,Lee,"Lee, Odessia D.",,D,6930,10.064043915828%,,,,,,,,,,
210,CA,California,08,n/a,,,,,District Votes:,,68859,,,,114536,,,,,,,
211,CA,California,09,H4CA11081,(I),Jerry,McNerney,"McNerney, Jerry",,D,38295,49.3804077316862%,,,63475,52.3703838157157%,,,,,W,
212,CA,California,09,H0CA11337,,"Antonio C. ""Tony""",Amador,"Amador, Antonio C. ""Tony""",,R,20424,26.3362174568993%,,,57729,47.6296161842843%,,,,,,
213,CA,California,09,H4CA09069,,Steve Anthony,Colangelo,"Colangelo, Steve Anthony",,R,14195,18.3040837642326%,,,,,,,,,,
214,CA,California,09,H4CA09077,,"Karen ""Mathews""",Davis,"Davis, Karen ""Mathews""",,R,4637,5.97929104718186%,,,,,,,,,,
215,CA,California,09,n/a,,,,,District Votes:,,77551,,,,121204,,,,,,,
216,CA,California,10,H0CA19173,(I),Jeff,Denham,"Denham, Jeff",,R,44237,58.9449419038482%,,,70582,56.1489200906885%,,,,,W,
217,CA,California,10,H4CA10075,,Michael,Eggman,"Eggman, Michael",,D,19804,26.388444728707%,,,55123,43.8510799093115%,,,,,,
218,CA,California,10,H2CA00096,,"Michael J. ""Mike""",Barkley,"Barkley, Michael J. ""Mike""",,D,11005,14.6639484063533%,,,,,,,,,,
219,CA,California,10 ,H0CA11360,,David Paul,Christensen,"Christensen, David Paul",,W(NOP),2,0.00266496109156806%,,,,,,,,,,
220,CA,California,10,n/a,,,,,District Votes:,,75048,,,,125705,,,,,,,
221,CA,California,11,H0CA10073,,Mark,Desaulnier,"Desaulnier, Mark",,D,59605,58.800607686844%,,,117502,67.2739347997847%,,,,,W,
222,CA,California,11,H4CA11107,,Tue,Phan,"Phan, Tue",,R,28242,27.8608633888407%,,,57160,32.7260652002153%,,,,,,
223,CA,California,11,H2CA11168,,Cheryl,Sudduth,"Sudduth, Cheryl",,D,4913,4.84669718254281%,,,,,,,,,,
224,CA,California,11,H4CA11115,,Tony,Daysog,"Daysog, Tony",,D,3482,3.43500907584247%,,,,,,,,,,
225,CA,California,11,H4CA11131,,Jason,Ramey,"Ramey, Jason",,NOP,2673,2.63692684081762%,,,,,,,,,,
226,CA,California,11,H4CA11123,,Ki,Ingersol,"Ingersol, Ki",,D,2313,2.28178517875464%,,,,,,,,,,
