1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
56,AK,Alaska,00,H6AK00243,,"William D. ""Bill""",Hibler,"Hibler, William D. ""Bill""",,D,2918,11.6454483776988%,,,,,,,,,,
57,AK,Alaska,00,n/a,,,,,Party Votes:,D,25057,,,,,,,,,,,
58,AK,Alaska,00,H2AK00143,,Jim C.,McDermott,"McDermott, Jim C.",,LIB,3960,71.4414576943893%,,,31770,10.3083082953166%,,,,,,
59,AK,Alaska,00,H6AK00292,,Jon B.,Watts,"Watts, Jon B.",,LIB,1583,28.5585423056107%,,,,,,,,,,
60,AK,Alaska,00,n/a,,,,,Party Votes:,LIB,5543,,,,,,,,,,,
61,AK,Alaska,00,H6AK00300,,Bernie,Souphanavong,"Souphanavong, Bernie",,NAF,,,,,9093,2.9503760569504%,,,,,,
62,AK,Alaska,00,H6AK00318,,Zachary A.,Kile,"Kile, Zachary A.",,W,,,,,,,,,,,,
63,AK,Alaska,00,H6AK00284,,Stephen,Wright,"Wright, Stephen",,W,,,,,,,,,,,,
64,AK,Alaska,00,n/a,,,Scattered,Scattered,,W,,,,,1228,0.398445155387121%,,,,,,
65,AK,Alaska,00,n/a,,,,,District Votes:,,85128,,,,308198,,,,,,,
66,,,,n/a,,,,,,,,,,,,,,,,,,
67,AK,Alaska,H,n/a,,,,,Total State Votes:,,85128,,,,308198,,,,,,,
68,AK,Alaska,,n/a,,,,,,,,,,,,,,,,,,
69,,,,n/a,,,,,,,,,,,,,,,,,,
70,AS,American Samoa,00,H4AS00036,(I),Aumua,Amata,"Amata, Aumua",,R,,,,,8923,75.4013858374176%,,,,,W,
71,AS,American Samoa,00,H6AS00031,,Vaitinasa Salu,Hunkin-Finau,"Hunkin-Finau, Vaitinasa Salu",,D,,,,,1581,13.3598107148893%,,,,,,
72,AS,American Samoa,00,H4AS00069,,Paepaetele Mapu S.,Jamias,"Jamias, Paepaetele Mapu S.",,D,,,,,978,8.26432313672469%,,,,,,
73,AS,American Samoa,00,H4AS00093,,Meleagi,Suitonu-Chapman,"Suitonu-Chapman, Meleagi",,D,,,,,181,1.529491296265%,,,,,,
74,AS,American Samoa,00,H6AS00049,,Tim,Jones,"Jones, Tim",,IND,,,,,171,1.4449890147034%,,,,,,
75,AS,American Samoa,00,n/a,,,,,District Votes:,,,,,,11834,,,,,,,
76,AS,American Samoa,H,n/a,,,,,Total State Votes:,,,,,,11834,,,,,,,
77,AS,American Samoa,00,n/a,,,,,,,,,,,,,,,,,,
78,,,,n/a,,,,,,,,,,,,,,,,,,
79,AZ,Arizona,01,H6AZ01199,,Tom,O'Halleran,"O'Halleran, Tom",,D,30833,58.7687029448204%,,,142219,50.6640304941042%,,,,,W,
80,AZ,Arizona,01,H6AZ01181 ,,Miguel,Olivas,"Olivas, Miguel",,D,21632,41.2312970551796%,,,,,,,,,,
81,AZ,Arizona,01,n/a,,,,,Party Votes:,D,52465,,,,,,,,,,,
82,AZ,Arizona,01,H2AZ04127 ,,Paul,Babeu,"Babeu, Paul",,R,19533,30.8208154506438%,,,121745,43.3703822450216%,,,,,,
83,AZ,Arizona,01,H4AZ01145 ,,Gary,Kiehne,"Kiehne, Gary",,R,14854,23.4378944710932%,,,,,,,,,,
84,AZ,Arizona,01,H2AZ09035 ,,Wendy,Rogers,"Rogers, Wendy",,R,14222,22.440671547589%,,,,,,,,,,
85,AZ,Arizona,01,H6AZ01173,,Ken,Bennett,"Bennett, Ken",,R,10578,16.6908608937137%,,,,,,,,,,
86,AZ,Arizona,01,H6AZ01207 ,,Shawn,Redd,"Redd, Shawn",,R,2098,3.3104014137844%,,,,,,,,,,
87,AZ,Arizona,01,H6AZ01215,,David,Gowan,"Gowan, David",,R,2091,3.29935622317597%,,,,,,,,,,
88,AZ,Arizona,01,n/a,,,,,Party Votes:,R,63376,,,,,,,,,,,
89,AZ,Arizona,01,H6AZ01264,,Ray,Parrish,"Parrish, Ray",,W(GRE)/GRE,66,100%,,,16746,5.96558726087421%,,,,,,
90,AZ,Arizona,01,n/a,,,,,Party Votes:,GRE,66,,,,,,,,,,,
91,AZ,Arizona,01,H2AZ01321,,Kim,Allen,"Allen, Kim",,W(LIB),144,100%,,,,,,,,,,
92,AZ,Arizona,01,n/a,,,,,Party Votes:,LIB,144,,,,,,,,,,,
93,,,,n/a,,,,,,,,,,,,,,,,,,
94,AZ,Arizona,01,n/a,,,,,District Votes:,,116051,,,,280710,,,,,,,
