1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),"CANDIDATE NAME (Last, First)",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",FOOTNOTES,
54,Alabama,AL,07,n/a,,,,,Party Votes:,REP,16406,,21132,,,,,,,
55,Alabama,AL,07,n/a,,,Scattered,Scattered,,W,,,,,138,0.0731226553061614%,,,,
56,Alabama,AL,07,n/a,,,,,District Votes:,,102080,,79979,,188724,,,,,
57,Alabama,AL,,n/a,,,,,,,,,,,,,,,,
58,Alabama,AL,H,n/a,,,,,Total State Votes:,,474678,,145239,,1367747,,,,,
59,Alabama,AL,,n/a,,,,,,,,,,,,,,,,
60,Alabama,AL,,n/a,,,,,,,,,,,,,,,,
61,Alabama,AL,S,S6AL00013,(I),Richard C.,Shelby,"Shelby, Richard C.",,REP,405398,84.3545823033451%,,,968181,65.1754730228698%,,,,
62,Alabama,AL,S,S0AL00180,,"N.C. ""Clint""",Moser,"Moser, N.C. ""Clint""",,REP,75190,15.6454176966549%,,,,,,,,
63,Alabama,AL,S,n/a,,,,,Party Votes:,REP,480588,,,,,,,,,
64,Alabama,AL,S,S0AL00164,,William G.,Barnes,"Barnes, William G.",,DEM,160993,60.7669805801423%,,,515619,34.7101546349072%,,,,
65,Alabama,AL,S,S0AL00172,,Simone D.,De Moore,"De Moore, Simone D.",,DEM,103942,39.2330194198577%,,,,,,,,
66,Alabama,AL,S,n/a,,,,,Party Votes:,DEM,264935,,,,,,,,,
67,Alabama,AL,S,n/a,,,Scattered,Scattered,,W,,,,,1699,0.114372342223051%,,,,
68,Alabama,AL,S,n/a,,,,,Total State Votes:,,745523,,,,1485499,,,,,
69,,,,n/a,,,,,,,,,,,,,,,,
70,Alaska,AK,00,H6AK00045,(I),Don,Young,"Young, Don",,REP,74310,70.3533287889116%,,,175384,68.9578705250949%,,,,
71,Alaska,AK,00,H0AK01038,,Sheldon,Fisher,"Fisher, Sheldon",,REP,24709,23.3933575702492%,,,,,,,,
72,Alaska,AK,00,H0AK00097,,John R. ,Cox,"Cox, John R. ",,REP,6605,6.2533136408392%,,,,,,,,
73,Alaska,AK,00,n/a,,,,,Party Votes:,REP,105624,,,,,,,,,
74,Alaska,AK,00,H0AK00089,,"Harry T., Jr.",Crawford,"Crawford, Harry T., Jr.",,DEM,38673,100%,,,77606,30.5132993886017%,,,,
75,Alaska,AK,00,n/a,,,,,Party Votes:,DEM,38673,,,,,,,,,
76,Alaska,AK,00,n/a,,,Scattered,Scattered,,W,,,,,1345,0.528830086303497%,,,,
