1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (MS Senate),GE RUNOFF ELECTION % (MS Senate),"COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",GE WINNER INDICATOR,FOOTNOTES
54,AL,Alabama,H,n/a,,,,,Total State Votes:,,415555,,71126,,1659895,,,,,,,
55,,,,n/a,,,,,,,,,,,,,,,,,,
56,AK,Alaska,00,H6AK00045,(I),Don,Young,"Young, Don",,R,49667,70.8465872619642%,,,149779,53.0818737906055%,,,,,W,
57,AK,Alaska,00,H8AK01031,,"Thomas ""John""",Nelson,"Nelson, Thomas ""John""",,R,10913,15.5666500249626%,,,,,,,,,,
58,AK,Alaska,00,H8AK00157,,Jed,Whittaker,"Whittaker, Jed",,R,9525,13.5867627130732%,,,,,,,,,,
59,AK,Alaska,00,n/a,,,,,Party Votes:,R,70105,,,,,,,,,,,
60,AK,Alaska,00,H8AK00140,,Alyse S.,Galvin,"Galvin, Alyse S.",,D(UND),21742,53.616433626791%,,,131199,46.4970974532722%,,,,,,*  The Alaska Democratic Party allows candidates who are registered as Undeclared or Nonpartisan to run as candidates in its primary.
61,AK,Alaska,00,H8AK00132,,Dimitri,Shein,"Shein, Dimitri",,D,9434,23.2645310843136%,,,,,,,,,,*  The Alaska Democratic Party allows candidates who are registered as Undeclared or Nonpartisan to run as candidates in its primary.
62,AK,Alaska,00,H8AK01023,,Carol ,Hafner,"Hafner, Carol ",,D,6071,14.971270745481%,,,,,,,,,,*  The Alaska Democratic Party allows candidates who are registered as Undeclared or Nonpartisan to run as candidates in its primary.
63,AK,Alaska,00,H8AK01049,,Christopher C.,Cummings,"Cummings, Christopher C.",,D(N),3304,8.14776454341447%,,,,,,,,,,*  The Alaska Democratic Party allows candidates who are registered as Undeclared or Nonpartisan to run as candidates in its primary.
64,AK,Alaska,00,n/a,,,,,Party Votes:,D,40551,,,,,,,,,,,*  The Alaska Democratic Party allows candidates who are registered as Undeclared or Nonpartisan to run as candidates in its primary.
65,AK,Alaska,00,n/a,,,Scattered,Scattered,,W,,,,,1188,0.421028756122283%,,,,,,
66,AK,Alaska,00,n/a,,,,,District Votes:,,110656,,,,282166,,,,,,,
67,AK,Alaska,H,n/a,,,,,,,,,,,,,,,,,,
68,AK,Alaska,H,n/a,,,,,Total State Votes:,,110656,,,,282166,,,,,,,
69,,,,n/a,,,,,,,,,,,,,,,,,,
70,AS,American Samoa,00,H4AS00036,(I),Aumua,Amata,"Amata, Aumua",,R,,,,,7194,83.2831673998611%,,,,,W,
71,AS,American Samoa,00,H2AS00030,,Tuika,Tuika,"Tuika, Tuika",,IND,,,,,807,9.34244037971753%,,,,,,
72,AS,American Samoa,00,H4AS00093,,Meleagi,Suitonu-Chapman,"Suitonu-Chapman, Meleagi",,D,,,,,637,7.37439222042139%,,,,,,
73,AS,American Samoa,00,n/a,,,,,District Votes:,,,,,,8638,,,,,,,
74,AS,American Samoa,H,n/a,,,,,,,,,,,,,,,,,,
75,AS,American Samoa,H,n/a,,,,,Total Votes:,,,,,,8638,,,,,,,
76,,,,n/a,,,,,,,,,,,,,,,,,,
77,AZ,Arizona,01,H6AZ01199,(I),Tom,O'Halleran,"O'Halleran, Tom",,D,64114,100%,,,143240,53.8316127310787%,,,,,W,
78,AZ,Arizona,01,n/a,,,,,Party Votes:,D,64114,,,,,,,,,,,
79,AZ,Arizona,01,H2AZ09035,,Wendy,Rogers,"Rogers, Wendy",,R,30180,43.7442022263451%,,,122784,46.1439593519462%,,,,,,
80,AZ,Arizona,01,H8AZ01229,,Steve,Smith,"Smith, Steve",,R,25552,37.0361781076067%,,,,,,,,,,
81,AZ,Arizona,01,H8AZ01237,,Tiffany ,Shedd,"Shedd, Tiffany ",,R,13260,19.2196196660482%,,,,,,,,,,
82,AZ,Arizona,01,n/a,,,,,Party Votes:,R,68992,,,,,,,,,,,
83,AZ,Arizona,01,H8AZ01252,,David,Shock,"Shock, David",,W,,,,,65,0.0244279169751474%,,,,,,
84,AZ,Arizona,01,n/a,,Zhani,Doko,"Doko, Zhani",,W(LIB),202,100%,,,,,,,,,,
85,AZ,Arizona,01,n/a,,,,,Party Votes:,LIB,202,,,,,,,,,,,
86,AZ,Arizona,01,n/a,,,,,District Votes:,,133308,,,,266089,,,,,,,
87,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
88,AZ,Arizona,02,H8AZ02185,,Lea Marquez,Peterson,"Peterson, Lea Marquez",,R,23571,34.1539397803344%,,,133083,45.242935625119%,,,,,,
89,AZ,Arizona,02,H8AZ02201,,Brandon,Martin,"Martin, Brandon",,R,19809,28.7028718810676%,,,,,,,,,,
90,AZ,Arizona,02,H8AZ02193,,Casey,Welch,"Welch, Casey",,R,14499,21.0087808270786%,,,,,,,,,,
91,AZ,Arizona,02,H8AZ02227,,"Daniel Romero, Jr.",Morales,"Morales, Daniel Romero, Jr.",,R,11135,16.1344075115194%,,,,,,,,,,
92,AZ,Arizona,02,n/a,,,,,Party Votes:,R,69014,,,,,,,,,,,
93,AZ,Arizona,02,H8AZ02151,,Ann,Kirkpatrick,"Kirkpatrick, Ann",,D,33938,41.8507146116188%,,,161000,54.733607114689%,,,,,W,
94,AZ,Arizona,02,H8AZ02136,,Matt,Heinz,"Heinz, Matt",,D,23992,29.5857842230525%,,,,,,,,,,
95,AZ,Arizona,02,H8AZ02144,,"Maria ""Mary""",Matiella,"Matiella, Maria ""Mary""",,D,7606,9.37935456821181%,,,,,,,,,,
96,AZ,Arizona,02,H8AZ02169,,Bruce,Wheeler,"Wheeler, Bruce",,D,6814,8.40269813670724%,,,,,,,,,,
97,AZ,Arizona,02,H8AZ02110,,Billy,Kovacs,"Kovacs, Billy",,D,5350,6.59736352089576%,,,,,,,,,,
98,AZ,Arizona,02,H8AZ02177,,Barbara,Sherry,"Sherry, Barbara",,D,2074,2.55755737239959%,,,,,,,,,,
99,AZ,Arizona,02,H8AZ02235,,Yahya,Yuksel,"Yuksel, Yahya",,D,1319,1.6265275671143%,,,,,,,,,,
100,AZ,Arizona,02,n/a,,,,,Party Votes:,D,81093,,,,,,,,,,,
101,AZ,Arizona,02,H8AZ02250,,Jordan,Flayer,"Flayer, Jordan",,W,,,,,50,0.016998014631891%,,,,,,
102,AZ,Arizona,02,H8AZ02268,,Melissa,Grable,"Grable, Melissa",,W,,,,,19,0.00645924556011858%,,,,,,
103,AZ,Arizona,02,n/a,,,,,District Votes:,,150107,,,,294152,,,,,,,
104,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
105,AZ,Arizona,03,H2AZ07070,(I),Ra£l,Grijalva,"Grijalva, Ra£l",,D,45186,99.8210617005766%,,,114650,63.8654619592464%,,,,,W,
106,AZ,Arizona,03,n/a,,Joshua,Garcia,"Garcia, Joshua",,W(D),81,0.178938299423421%,,,,,,,,,,
107,AZ,Arizona,03,n/a,,,,,Party Votes:,D,45267,,,,,,,,,,,
108,AZ,Arizona,03,H8AZ03159,,"Nicolas ""Nick""",Pierson,"Pierson, Nicolas ""Nick""",,R,13090,49.8742665549036%,,,64868,36.1345380407536%,,,,,,
109,AZ,Arizona,03,H8AZ03142,,Sergio,Arellano,"Arellano, Sergio",,R,7400,28.1947725367675%,,,,,,,,,,
110,AZ,Arizona,03,H6AZ03179,,Edna,San Miguel,"San Miguel, Edna",,R,5756,21.9309609083289%,,,,,,,,,,
111,AZ,Arizona,03,n/a,,,,,Party Votes:,R,26246,,,,,,,,,,,
112,AZ,Arizona,03,n/a,,,,,District Votes:,,71513,,,,179518,,,,,,,
113,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
114,AZ,Arizona,04,H0AZ01259,(I),Paul,Gosar,"Gosar, Paul",,R,94092,100%,,,188842,68.1653942642626%,,,,,W,
115,AZ,Arizona,04,n/a,,,,,Party Votes:,R,94092,,,,,,,,,,,
116,AZ,Arizona,04,H8AZ04140,,David,Brill,"Brill, David",,D,19048,52.3973262179187%,,,84521,30.5091414442219%,,,,,,
117,AZ,Arizona,04,H8AZ04165,,Delina,DiSanto,"DiSanto, Delina",,D,17256,47.4678843561742%,,,,,,,,,,
118,AZ,Arizona,04,H8AZ04132,,Ana Maria,Perez,"Perez, Ana Maria",,W(D),49,0.134789425907078%,,,,,,,,,,
119,AZ,Arizona,04,n/a,,,,,Party Votes:,D,36353,,,,,,,,,,,
120,AZ,Arizona,04,H8AZ04173,,Haryaksha Gregor,Knauer,"Knauer, Haryaksha Gregor",,GRE,323,100%,,,3672,1.32546429151551%,,,,,,
121,AZ,Arizona,04,n/a,,,,,Party Votes:,GRE,323,,,,,,,,,,,
122,AZ,Arizona,04,n/a,,,,,District Votes:,,130768,,,,277035,,,,,,,
123,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
124,AZ,Arizona,05,H6AZ05083,(I),Andy,Biggs,"Biggs, Andy",,R,86418,100%,,,186037,59.4245904990673%,,,,,W,
125,AZ,Arizona,05,n/a,,,,,Party Votes:,R,86418,,,,,,,,,,,
126,AZ,Arizona,05,H8AZ05154,,Joan,Greene,"Greene, Joan",,D,27222,59.3162355914845%,,,127027,40.5754095009327%,,,,,,
127,AZ,Arizona,05,H8AZ05162,,Jose,Torres,"Torres, Jose",,D,18671,40.6837644085155%,,,,,,,,,,
128,AZ,Arizona,05,n/a,,,,,Party Votes:,D,45893,,,,,,,,,,,
129,AZ,Arizona,05,n/a,,,,,District Votes:,,132311,,,,313064,,,,,,,
130,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
131,AZ,Arizona,06,H4AZ06045 ,(I),David,Schweikert,"Schweikert, David",,R,83406,100%,,,173140,55.1930353619234%,,,,,W,
132,AZ,Arizona,06,n/a,,,,,Party Votes:,R,83406,,,,,,,,,,,
133,AZ,Arizona,06,H8AZ06103,,Anita,Malik,"Malik, Anita",,D,22666,42.2132826759042%,,,140559,44.8069646380766%,,,,,,
134,AZ,Arizona,06,H8AZ06095,,Heather,Ross,"Ross, Heather",,D,20203,37.626177971468%,,,,,,,,,,
135,AZ,Arizona,06,H8AZ06087,,Garrick,McFadden,"McFadden, Garrick",,D,10825,20.1605393526279%,,,,,,,,,,
136,AZ,Arizona,06,n/a,,,,,Party Votes:,D,53694,,,,,,,,,,,
137,AZ,Arizona,06,n/a,,,,,District Votes:,,137100,,,,313699,,,,,,,
138,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
139,AZ,Arizona,07,H4AZ07043,(I),Ruben,Gallego,"Gallego, Ruben",,D,32231,74.8044653839905%,,,113044,85.606318770778%,,,,,W,
140,AZ,Arizona,07,H8AZ07044,,Catherine,Miranda,"Miranda, Catherine",,D,10856,25.1955346160095%,,,,,,,,,,
141,AZ,Arizona,07,n/a,,,,,Party Votes:,D,43087,,,,,,,,,,,
142,AZ,Arizona,07,H8AZ08224,,Gary,Swing,"Swing, Gary",,W(GRE)/GRE,13,100%,,,18706,14.1657389947823%,,,,,,
143,AZ,Arizona,07,H8AZ07069,,"James ""007,"" IV",Bond,"Bond, James ""007,"" IV",,W,,,,,301,0.227942234439724%,,,,,,
144,AZ,Arizona,07,n/a,,,,,Party Votes:,GRE,13,,,,,,,,,,,
145,AZ,Arizona,07,n/a,,,,,District Votes:,,43100,,,,132051,,,,,,,
146,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
147,AZ,Arizona,08,H8AZ08158,(I),Debbie,Lesko,"Lesko, Debbie  #",,R,73776,77.1707408918317%,,,168835,55.4617514790567%,,,,,W,"#  Debbie Lesko was elected in a special general election on April 24, 2018, to fill the remainder of Rep. Trent Franks' term."
148,AZ,Arizona,08,H8AZ08257,,Sandra E.,Dowling,"Dowling, Sandra E.",,R,21825,22.8292591081683%,,,,,,,,,,
149,AZ,Arizona,08,n/a,,,,,Party Votes:,R,95601,,,,,,,,,,,
150,AZ,Arizona,08,H8AZ08083,,Hiral,Tipirneni,"Tipirneni, Hiral",,D,52215,100%,,,135569,44.533978062986%,,,,,,
151,AZ,Arizona,08,n/a,,,,,Party Votes:,D,52215,,,,,,,,,,,
152,AZ,Arizona,08,H8AZ08265,,Steven,Hummel,"Hummel, Steven",,W,,,,,13,0.00427045795734141%,,,,,,
153,AZ,Arizona,08,n/a,,,,,District Votes:,,147816,,,,304417,,,,,,,
154,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
155,AZ,Arizona,09,H8AZ09040,,Greg,Stanton,"Stanton, Greg",,D,59066,100%,,,159583,61.0855710157132%,,,,,W,
