1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (MS Senate),GE RUNOFF ELECTION % (MS Senate),"COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",GE WINNER INDICATOR,FOOTNOTES
1251,IL,Illinois,18,n/a,,,,,Party Votes:,D,35936,,,,,,,,,,,
1252,IL,Illinois,18,n/a,,,,,District Votes:,,114193,,,,291413,,,,,,,
1253,IL,Illinois,H,n/a,,,,,,,,,,,,,,,,,,
1254,IL,Illinois,H,n/a,,,,,Total State Votes:,,1861219,,,,4539704,,,,,,,
1255,,,,n/a,,,,,,,,,,,,,,,,,,
1256,IN,Indiana,01,H4IN01012 ,(I),Peter J.,Visclosky,"Visclosky, Peter J.",,D,42269,80.5307879896357%,,,159611,65.0918196314165%,,,,,W,
1257,IN,Indiana,01,H8IN01146,,"Antonio (Tony), Sr.",Daggett,"Daggett, Antonio (Tony), Sr.",,D,5813,11.0749123609206%,,,,,,,,,,
1258,IN,Indiana,01,H8IN01138,,Larry,Chubb,"Chubb, Larry",,D,4406,8.39429964944368%,,,,,,,,,,
1259,IN,Indiana,01,n/a,,,,,Party Votes:,D,52488,,,,,,,,,,,
1260,IN,Indiana,01,H8IN01096,,Mark,Leyva,"Leyva, Mark",,R,5960,26.9890866277227%,,,85594,34.9065491070882%,,,,,,
1261,IN,Indiana,01,H6IN01207,,John,Meyer,"Meyer, John",,R,4328,19.5987863967758%,,,,,,,,,,
1262,IN,Indiana,01,H8IN01179,,Roseann P.,Ivanovich,"Ivanovich, Roseann P.",,R,4318,19.5535026943803%,,,,,,,,,,
1263,IN,Indiana,01,H8IN01187,,Nicholas,Pappas,"Pappas, Nicholas",,R,4311,19.5218041027034%,,,,,,,,,,
1264,IN,Indiana,01,H8IN01161,,David ,Dopp,"Dopp, David ",,R,1680,7.60766200244532%,,,,,,,,,,
1265,IN,Indiana,01,H8IN01153,,Jeremy D.,Belko,"Belko, Jeremy D.",,R,1486,6.72915817597247%,,,,,,,,,,
1266,IN,Indiana,01,n/a,,,,,Party Votes:,R,22083,,,,,,,,,,,
1267,IN,Indiana,01,n/a,,Jonathan S.,Kleinman,"Kleinman, Jonathan S.",,W,,,,,4,0.00163126149529585%,,,,,,
1268,IN,Indiana,01,n/a,,,,,District Votes:,,74571,,,,245209,,,,,,,
1269,IN,Indiana,,n/a,,,,,,,,,,,,,,,,,,
1270,IN,Indiana,02,H0IN02190 ,(I),Jackie,Walorski,"Walorski, Jackie",,R,43016,78.6398537477148%,,,125499,54.8296335778478%,,,,,W,
1271,IN,Indiana,02,H8IN02151,,Mark,Summe,"Summe, Mark",,R,11684,21.3601462522852%,,,,,,,,,,
1272,IN,Indiana,02,n/a,,,,,Party Votes:,R,54700,,,,,,,,,,,
1273,IN,Indiana,02,H8IN02169 ,,Mel,Hall,"Hall, Mel",,D,15402,41.6653140723909%,,,103363,45.1585703113736%,,,,,,
1274,IN,Indiana,02,H8IN02177 ,,Pat ,Hackett,"Hackett, Pat ",,D,10429,28.2124114050749%,,,,,,,,,,
1275,IN,Indiana,02,H8IN02185,,Joshi,Yatish,"Yatish, Joshi",,D,8165,22.0878645241573%,,,,,,,,,,
1276,IN,Indiana,02,H4IN02150 ,,Douglas,Carpenter,"Carpenter, Douglas",,D,1949,5.27241248715036%,,,,,,,,,,
1277,IN,Indiana,02,H8IN02201,,John H.,Petroff,"Petroff, John H.",,D,570,1.54195747443597%,,,,,,,,,,
1278,IN,Indiana,02,H8IN02193,,Roland E.,Leech,"Leech, Roland E.",,D,451,1.22004003679056%,,,,,,,,,,
1279,IN,Indiana,02,n/a,,,,,Party Votes:,D,36966,,,,,,,,,,,
1280,IN,Indiana,02,H8IN02219,,Richard,Wolf,"Wolf, Richard",,W,,,,,27,0.011796110778587%,,,,,,
1281,IN,Indiana,02,n/a,,,,,District Votes:,,91666,,,,228889,,,,,,,
1282,IN,Indiana,,n/a,,,,,,,,,,,,,,,,,,
1283,IN,Indiana,03,H6IN03229,(I),Jim,Banks,"Banks, Jim",,R,58745,100%,,,158927,64.7262937968616%,,,,,W,
1284,IN,Indiana,03,n/a,,,,,Party Votes:,R,58745,,,,,,,,,,,
1285,IN,Indiana,03,H8IN03076,,Courtney,Tritch,"Tritch, Courtney",,D,16376,79.0500096543734%,,,86610,35.2737062031384%,,,,,,
1286,IN,Indiana,03,H6IN03187,,Tommy A. ,Schrader,"Schrader, Tommy A. ",,D,2224,10.7356632554547%,,,,,,,,,,
1287,IN,Indiana,03,H2IN03160,,John F.,Roberson,"Roberson, John F.",,D,2116,10.2143270901718%,,,,,,,,,,
1288,IN,Indiana,03,n/a,,,,,Party Votes:,D,20716,,,,,,,,,,,
1289,IN,Indiana,03,n/a,,,,,District Votes:,,79461,,,,245537,,,,,,,
1290,IN,Indiana,,n/a,,,,,,,,,,,,,,,,,,
1291,IN,Indiana,04,H8IN04199 ,,Jim,Baird,"Baird, Jim",,R,29319,36.5892923998502%,,,156539,64.0600254539353%,,,,,W,
1292,IN,Indiana,04,H8IN04165 ,,Steve,Braun,"Braun, Steve",,R,23602,29.4546362161488%,,,,,,,,,,
1293,IN,Indiana,04,H8IN04157 ,,Diego,Morales,"Morales, Diego",,R,11997,14.9719206289779%,,,,,,,,,,
1294,IN,Indiana,04,H8IN04181,,Jared Guy,Thomas,"Thomas, Jared Guy",,R,8435,10.5266442031699%,,,,,,,,,,
1295,IN,Indiana,04,H4IN04180,,Kevin J. ,Grant,"Grant, Kevin J. ",,R,3667,4.57631349057781%,,,,,,,,,,
1296,IN,Indiana,04,H8IN04264,,James,Nease,"Nease, James",,R,2097,2.61699737925871%,,,,,,,,,,
1297,IN,Indiana,04,H8IN04215 ,,Tim,Radice,"Radice, Tim",,R,1013,1.26419568201672%,,,,,,,,,,
1298,IN,Indiana,04,n/a,,,,,Party Votes:,R,80130,,,,,,,,,,,
1299,IN,Indiana,04,H8IN04124 ,,Tobi ,Beck,"Beck, Tobi ",,D,6467,34.5773405336042%,,,87824,35.9399745460647%,,,,,,
1300,IN,Indiana,04,H8IN04256,,Veronikka M.,Ziol,"Ziol, Veronikka M.",,D,3938,21.0554456504304%,,,,,,,,,,
1301,IN,Indiana,04,H8IN04140 ,,Joseph W.,Mackey,"Mackey, Joseph W.",,D,3013,16.1097150189809%,,,,,,,,,,
1302,IN,Indiana,04,H8IN04231,,Roger D.,Day,"Day, Roger D.",,D,2324,12.4258140405283%,,,,,,,,,,
1303,IN,Indiana,04,H8IN04249,,Roland  ,Ellis,"Ellis, Roland  ",,D,1712,9.15361172004491%,,,,,,,,,,
1304,IN,Indiana,04,H0IN06084,,Darin Patrick,Griesey,"Griesey, Darin Patrick",,D,1249,6.67807303641127%,,,,,,,,,,
1305,IN,Indiana,04,n/a,,,,,Party Votes:,D,18703,,,,,,,,,,,
1306,IN,Indiana,04,n/a,,,,,District Votes:,,98833,,,,244363,,,,,,,
1307,IN,Indiana,,n/a,,,,,,,,,,,,,,,,,,
1308,IN,Indiana,05,H2IN05082,(I),Susan W.,Brooks,"Brooks, Susan W.",,R,63904,100%,,,180035,56.7616819630679%,,,,,W,
1309,IN,Indiana,05,n/a,,,,,Party Votes:,R,63904,,,,,,,,,,,
1310,IN,Indiana,05,H8IN05188,,Dee,Thornton,"Thornton, Dee",,D,18073,52.9782493990737%,,,137142,43.2383180369321%,,,,,,
1311,IN,Indiana,05,H8IN05204 ,,Kyle,Moore,"Moore, Kyle",,D,8077,23.6764964530691%,,,,,,,,,,
1312,IN,Indiana,05,H8IN05170,,Dion,Douglas,"Douglas, Dion",,D,3521,10.3212757225772%,,,,,,,,,,
1313,IN,Indiana,05,H8IN05212 ,,Eshel,Faraggi,"Faraggi, Eshel",,D,2583,7.5716714545348%,,,,,,,,,,
1314,IN,Indiana,05,H8IN05147,,Sean,Dugdale,"Dugdale, Sean",,D,1860,5.45230697074515%,,,,,,,,,,
1315,IN,Indiana,05,n/a,,,,,Party Votes:,D,34114,,,,,,,,,,,
1316,IN,Indiana,05,n/a,,,,,District Votes:,,98018,,,,317177,,,,,,,
1317,IN,Indiana,,n/a,,,,,,,,,,,,,,,,,,
1318,IN,Indiana,06,H8IN06129,,Greg,Pence,"Pence, Greg",,R,47962,64.484988638961%,,,154260,63.8160561958581%,,,,,W,
1319,IN,Indiana,06,H8IN06079 ,,Jonathan M.,Lamb,"Lamb, Jonathan M.",,R,17526,23.5637361012141%,,,,,,,,,,
1320,IN,Indiana,06,H8IN06103,,Stephen M.,MacKenzie,"MacKenzie, Stephen M.",,R,3400,4.57130564556247%,,,,,,,,,,
1321,IN,Indiana,06,H8IN06160,,Mike,Campbell,"Campbell, Mike",,R,3231,4.34408486494481%,,,,,,,,,,
1322,IN,Indiana,06,H8IN06186,,Jeff,Smith,"Smith, Jeff",,R,2258,3.03588474931767%,,,,,,,,,,
1323,IN,Indiana,06,n/a,,,,,Party Votes:,R,74377,,,,,,,,,,,
1324,IN,Indiana,06,H8IN06152,,Jeannine Lee,Lake,"Lake, Jeannine Lee",,D,8890,38.3239211967065%,,,79430,32.8595186285298%,,,,,,
1325,IN,Indiana,06,H8IN06087,,Jim,Pruett,"Pruett, Jim",,D,5984,25.7964391947235%,,,,,,,,,,
1326,IN,Indiana,06,H2IN06189,,Lane,Siekman,"Siekman, Lane",,D,3612,15.5709790059059%,,,,,,,,,,
1327,IN,Indiana,06,H6IN06024,,George T.,Holland,"Holland, George T.",,D,2570,11.0790188386429%,,,,,,,,,,
1328,IN,Indiana,06,H8IN06145,,Joshua,Williamson,"Williamson, Joshua",,D,1695,7.30697935077812%,,,,,,,,,,
1329,IN,Indiana,06,H8IN04223,,K. (Jasen),Lave,"Lave, K. (Jasen)",,D,446,1.92266241324309%,,,,,,,,,,
1330,IN,Indiana,06,n/a,,,,,Party Votes:,D,23197,,,,,,,,,,,
1331,IN,Indiana,06,H8IN06137,,Tom,Ferkinhoff,"Ferkinhoff, Tom",,LIB,*,,,,8030,3.32194302640179%,,,,,,"*  The Libertarian Party nominated by convention on May 5, 2018.  Convention nominee is noted with an asterisk."
1332,IN,Indiana,06,H8IN06210,,John,Miller,"Miller, John",,W,,,,,5,0.00206845767521905%,,,,,,
1333,IN,Indiana,06,n/a,,Heather Leigh,Meloy,"Meloy, Heather Leigh",,W,,,,,1,0.00041369153504381%,,,,,,
1334,IN,Indiana,06,n/a,,,,,District Votes:,,97574,,,,241726,,,,,,,
1335,IN,Indiana,,n/a,,,,,,,,,,,,,,,,,,
1336,IN,Indiana,07,H8IN07184,(I),Andr‚ D.,Carson,"Carson, Andr‚ D.",,D,37662,87.9624439461883%,,,141139,64.8628651261972%,,,,,W,
1337,IN,Indiana,07,H8IN07309,,Sue,Spicer,"Spicer, Sue",,D,3499,8.17217862481315%,,,,,,,,,,
1338,IN,Indiana,07,H4IN07159,,Curtis D.,Godfrey,"Godfrey, Curtis D.",,D,725,1.69329222720478%,,,,,,,,,,
1339,IN,Indiana,07,H0IN07199,,Bob,Kern,"Kern, Bob",,D,704,1.64424514200299%,,,,,,,,,,
1340,IN,Indiana,07,H6IN07337,,Pierre Quincy,Pullins,"Pullins, Pierre Quincy",,D,226,0.527840059790733%,,,,,,,,,,
1341,IN,Indiana,07,n/a,,,,,Party Votes:,D,42816,,,,,,,,,,,
1342,IN,Indiana,07,H8IN07150,,"Wayne ""Gunny""",Harmon,"Harmon, Wayne ""Gunny""",,R,6547,28.812216696739%,,,76457,35.1371348738028%,,,,,,
1343,IN,Indiana,07,H8IN07333,,"Donald, Jr.",Eason,"Eason, Donald, Jr.",,R,4354,19.1612023060335%,,,,,,,,,,
1344,IN,Indiana,07,H8IN07317,,John L.,Couch,"Couch, John L.",,R,3464,15.2444659596004%,,,,,,,,,,
1345,IN,Indiana,07,H2IN07096,,J D ,Miniear,"Miniear, J D ",,R,3087,13.5853540465608%,,,,,,,,,,
1346,IN,Indiana,07,H8IN07325,,J. Jason,Davis,"Davis, J. Jason",,R,2703,11.8954363420323%,,,,,,,,,,
1347,IN,Indiana,07,H8IN07291,,"Tony ""Big Dog""",Van Pelt,"Van Pelt, Tony ""Big Dog""",,R,2568,11.301324649034%,,,,,,,,,,
1348,IN,Indiana,07,n/a,,,,,Party Votes:,R,22723,,,,,,,,,,,
1349,IN,Indiana,07,n/a,,,,,District Votes:,,65539,,,,217596,,,,,,,
1350,IN,Indiana,,n/a,,,,,,,,,,,,,,,,,,
1351,IN,Indiana,08,H0IN08114,(I),Larry D.,Bucshon,"Bucshon, Larry D.",,R,34516,62.9877002810322%,,,157396,64.4297170178189%,,,,,W,
1352,IN,Indiana,08,H6IN08228,,Richard ,Moss,"Moss, Richard ",,R,13831,25.2399722617614%,,,,,,,,,,
1353,IN,Indiana,08,H6IN08251,,Rachael ,Covington,"Covington, Rachael ",,R,6451,11.7723274572065%,,,,,,,,,,
1354,IN,Indiana,08,n/a,,,,,Party Votes:,R,54798,,,,,,,,,,,
1355,IN,Indiana,08,H8IN08141,,William,Tanoos,"Tanoos, William",,D,26232,100%,,,86895,35.5702829821811%,,,,,,
1356,IN,Indiana,08,n/a,,,,,Party Votes:,D,26232,,,,,,,,,,,
1357,IN,Indiana,08,n/a,,,,,District Votes:,,81030,,,,244291,,,,,,,
1358,IN,Indiana,,n/a,,,,,,,,,,,,,,,,,,
1359,IN,Indiana,09,H6IN09176 ,(I),Trey,Hollingsworth,"Hollingsworth, Trey",,R,46892,77.711671997481%,,,153271,56.4823242838875%,,,,,W,
1360,IN,Indiana,09,H8IN09131,,James Dean,Alspach,"Alspach, James Dean",,R,13449,22.288328002519%,,,,,,,,,,
1361,IN,Indiana,09,n/a,,,,,Party Votes:,R,60341,,,,,,,,,,,
1362,IN,Indiana,09,H8IN09107 ,,Liz,Watson,"Watson, Liz",,D,24989,66.3771349642734%,,,118090,43.5176757161125%,,,,,,
1363,IN,Indiana,09,H8IN09081 ,,Dan,Canon,"Canon, Dan",,D,11558,30.7009854702898%,,,,,,,,,,
1364,IN,Indiana,09,H8IN09115 ,,Rob,Chatlos,"Chatlos, Rob",,D,1100,2.92187956543682%,,,,,,,,,,
1365,IN,Indiana,09,n/a,,,,,Party Votes:,D,37647,,,,,,,,,,,
1366,IN,Indiana,09,n/a,,,,,District Votes:,,97988,,,,271361,,,,,,,
1367,IN,Indiana,H,n/a,,,,,,,,,,,,,,,,,,
1368,IN,Indiana,H,n/a,,,,,Total State Votes:,,784680,,,,2256149,,,,,,,
1369,,,,n/a,,,,,,,,,,,,,,,,,,
1370,IA,Iowa,01,H8IA01094 ,,Abby,Finkenauer,"Finkenauer, Abby",,D,29745,66.7991645893687%,,,170342,50.9635205524125%,,,,,W,
1371,IA,Iowa,01,H8IA01128,,Thomas,Heckroth,"Heckroth, Thomas",,D,8516,19.124615419165%,,,,,,,,,,
1372,IA,Iowa,01,H8IA01102 ,,Courtney L.,Rowe,"Rowe, Courtney L.",,D,3381,7.59280468907903%,,,,,,,,,,
1373,IA,Iowa,01,H8IA01110 ,,George ,Ramsey,"Ramsey, George ",,D,2837,6.37112892721597%,,,,,,,,,,
1374,IA,Iowa,01,n/a,,,Scattered,Scattered,,W(D),50,0.112286375171237%,,,,,,,,,,
1375,IA,Iowa,01,n/a,,,,,Party Votes:,D,44529,,,,,,,,,,,
1376,IA,Iowa,01,H2IA01055 ,(I),Rod,Blum,"Blum, Rod",,R,14737,98.8794954374665%,,,153442,45.9073189266492%,,,,,,
1377,IA,Iowa,01,n/a,,,Scattered,Scattered,,W(R),167,1.12050456253355%,,,,,,,,,,
1378,IA,Iowa,01,n/a,,,,,Party Votes:,R,14904,,,,,,,,,,,
1379,IA,Iowa,01,H8IA01136,,Troy,Hageman,"Hageman, Troy",,LIB,,,,,10285,3.07710258703997%,,,,,,
1380,IA,Iowa,01,n/a,,,Scattered,Scattered,,W(LIB),61,100%,,,,,,,,,,
1381,IA,Iowa,01,n/a,,,,,Party Votes:,LIB,61,,,,,,,,,,,
1382,IA,Iowa,01,n/a,,,Scattered,Scattered,,W,,,,,174,0.0520579338983913%,,,,,,
1383,IA,Iowa,01,n/a,,,,,District Votes:,,59494,,,,334243,,,,,,,
1384,IA,Iowa,,n/a,,,,,,,,,,,,,,,,,,
1385,IA,Iowa,02,H6IA02146 ,(I),Dave,Loebsack,"Loebsack, Dave",,D,42378,99.2644992035979%,,,171446,54.7903091274572%,,,,,W,
1386,IA,Iowa,02,n/a,,,Scattered,Scattered,,W(D),314,0.735500796402136%,,,,,,,,,,
1387,IA,Iowa,02,n/a,,,,,Party Votes:,D,42692,,,,,,,,,,,
1388,IA,Iowa,02,H6IA02161,,Christopher ,Peters,"Peters, Christopher ",,R,18056,87.5399980607001%,,,133287,42.5955457267675%,,,,,,
1389,IA,Iowa,02,H8IA02084,,Ginny,Caligiuri,"Caligiuri, Ginny",,W(R),2389,11.5824687287889%,,,,,,,,,,
1390,IA,Iowa,02,n/a,,,Scattered,Scattered,,W(R),181,0.877533210511005%,,,,,,,,,,
1391,IA,Iowa,02,n/a,,,,,Party Votes:,R,20626,,,,,,,,,,,
1392,IA,Iowa,02,H8IA02092,,Mark David,Strauss,"Strauss, Mark David",,LIB,,,,,6181,1.97530943105592%,,,,,,
1393,IA,Iowa,02,n/a,,,Scattered,Scattered,,W(LIB),60,100%,,,,,,,,,,
1394,IA,Iowa,02,n/a,,,,,Party Votes:,LIB,60,,,,,,,,,,,
1395,IA,Iowa,02,H8IA02100,,Daniel,Clark,"Clark, Daniel",,NPA,,,,,1837,0.587064136037812%,,,,,,
1396,IA,Iowa,02,n/a,,,Scattered,Scattered,,W,,,,,162,0.0517715786816144%,,,,,,
1397,IA,Iowa,02,n/a,,,,,District Votes:,,63378,,,,312913,,,,,,,
1398,IA,Iowa,,n/a,,,,,,,,,,,,,,,,,,
1399,IA,Iowa,03,H8IA03124,,Cindy,Axne,"Axne, Cindy",,D,32910,57.7976817702845%,,,175642,49.3042631252439%,,,,,W,
1400,IA,Iowa,03,H8IA03181 ,,Eddie J.,Mauro,"Mauro, Eddie J.",,D,15006,26.3540569020021%,,,,,,,,,,
1401,IA,Iowa,03,H8IA03173,,Pete ,D'Alessandro,"D'Alessandro, Pete ",,D,8874,15.5848261327713%,,,,,,,,,,
1402,IA,Iowa,03,n/a,,,Scattered,Scattered,,W(D),150,0.263435194942044%,,,,,,,,,,
1403,IA,Iowa,03,n/a,,,,,Party Votes:,D,56940,,,,,,,,,,,
1404,IA,Iowa,03,H4IA03115 ,(I),David,Young,"Young, David",,R,21712,98.9337464686048%,,,167933,47.1402786316005%,,,,,,
1405,IA,Iowa,03,n/a,,,Scattered,Scattered,,W(R),234,1.06625353139524%,,,,,,,,,,
1406,IA,Iowa,03,n/a,,,,,Party Votes:,R,21946,,,,,,,,,,,
1407,IA,Iowa,03,H4IA03149,,Bryan Jack,Holder,"Holder, Bryan Jack",,LIB,531,96.0216998191682%,,,7267,2.03991118372113%,,,,,,
1408,IA,Iowa,03,n/a,,,Scattered,Scattered,,W(LIB),22,3.97830018083183%,,,,,,,,,,
1409,IA,Iowa,03,n/a,,,,,Party Votes:,LIB,553,,,,,,,,,,,
1410,IA,Iowa,03,H8IA03199,,"Mark, Jr.",Elworth,"Elworth, Mark, Jr.",,LMN,,,,,2015,0.565628324645395%,,,,,,
1411,IA,Iowa,03,H8IA03140,,Paul,Knupp,"Knupp, Paul",,GRE,,,,,1888,0.529978301206206%,,,,,,
1412,IA,Iowa,03,H4IA03123,,Joe,Grandanette,"Grandanette, Joe",,NPA,,,,,1301,0.3652022086172%,,,,,,
1413,IA,Iowa,03,n/a,,,Scattered,Scattered,,W,,,,,195,0.0547382249656833%,,,,,,
1414,IA,Iowa,03,n/a,,,,,District Votes:,,79439,,,,356241,,,,,,,
1415,IA,Iowa,,n/a,,,,,,,,,,,,,,,,,,
1416,IA,Iowa,04,H2IA05072,(I),Steve,King,"King, Steve",,R,28053,74.7402355197954%,,,157676,50.335354077082%,,,,,W,
1417,IA,Iowa,04,H8IA04148 ,,Cyndi,Hanson,"Hanson, Cyndi",,R,9437,25.1425374327277%,,,,,,,,,,
1418,IA,Iowa,04,n/a,,,Scattered,Scattered,,W(R),44,0.117227047476954%,,,,,,,,,,
1419,IA,Iowa,04,n/a,,,,,Party Votes:,R,37534,,,,,,,,,,,
1420,IA,Iowa,04,H8IA04106,,J.D.,Scholten,"Scholten, J.D.",,D,14733,51.2559142777623%,,,147246,47.005755767739%,,,,,,
1421,IA,Iowa,04,H8IA04114 ,,Leann,Jacobsen,"Jacobsen, Leann",,D,9176,31.9231839688283%,,,,,,,,,,
1422,IA,Iowa,04,H8IA04122,,John,Paschen,"Paschen, John",,D,4806,16.7200111327581%,,,,,,,,,,
1423,IA,Iowa,04,n/a,,,Scattered,Scattered,,W(D),29,0.100890620651266%,,,,,,,,,,
1424,IA,Iowa,04,n/a,,,,,Party Votes:,D,28744,,,,,,,,,,,
1425,IA,Iowa,04,H8IA04155,,Charles,Aldrich,"Aldrich, Charles",,LIB,340,95.2380952380952%,,,6161,1.96679340209608%,,,,,,
1426,IA,Iowa,04,n/a,,,Scattered,Scattered,,W(LIB),17,4.76190476190476%,,,,,,,,,,
1427,IA,Iowa,04,n/a,,,,,Party Votes:,LIB,357,,,,,,,,,,,
1428,IA,Iowa,04,H8IA04163,,Edward,Peterson,"Peterson, Edward",,NPA,,,,,1962,0.626334792227319%,,,,,,
1429,IA,Iowa,04,n/a,,,Scattered,Scattered,,W,,,,,206,0.0657619608556717%,,,,,,
1430,IA,Iowa,04,n/a,,,,,District Votes:,,66635,,,,313251,,,,,,,
1431,IA,Iowa,H,n/a,,,,,,,,,,,,,,,,,,
1432,IA,Iowa,H,n/a,,,,,Total State Votes:,,268946,,,,1316648,,,,,,,
1433,,,,n/a,,,,,,,,,,,,,,,,,,
1434,KS,Kansas,01,H6KS01179   ,(I),Roger,Marshall,"Marshall, Roger",,Rÿ,64843,78.6585957591344%,,,153082,68.1454772079772%,,,,,W,
1435,KS,Kansas,01,H8KS01043   ,,Nick,Reinecker,"Reinecker, Nick",,Rÿ,17593,21.3414042408656%,,,,,,,,,,
1436,KS,Kansas,01,n/a,,,,,Party Votes:,R,82436,,,,,,,,,,,
1437,KS,Kansas,01,H4KS01059,,Alan,LaPolice,"LaPolice, Alan",,Dÿ,17195,100%,,,71558,31.8545227920228%,,,,,,
1438,KS,Kansas,01,n/a,,,,,Party Votes:,D,17195,,,,,,,,,,,
1439,KS,Kansas,01,n/a,,,,,District Votes:,,99631,,,,224640,,,,,,,
1440,KS,Kansas,,n/a,,,,,,,,,,,,,,,,,,
1441,KS,Kansas,02,H8KS02199   ,,Steve,Watkins,"Watkins, Steve",,Rÿ,20052,26.5367971096965%,,,126098,47.6402405851418%,,,,,W,
1442,KS,Kansas,02,H8KS02157   ,,Caryn,Tyson,"Tyson, Caryn",,Rÿ,17749,23.4890091711552%,,,,,,,,,,
1443,KS,Kansas,02,H8KS02181   ,,Kevin,Jones,"Jones, Kevin",,Rÿ,11201,14.8233924010428%,,,,,,,,,,
1444,KS,Kansas,02,H8KS02140   ,,Steve,Fitzgerald,"Fitzgerald, Steve",,Rÿ,9227,12.211002739436%,,,,,,,,,,
1445,KS,Kansas,02,H8KS02249   ,,Dennis,Pyle,"Pyle, Dennis",,Rÿ,9126,12.0773394386141%,,,,,,,,,,
1446,KS,Kansas,02,H8KS02231   ,,Doug,Mays,"Mays, Doug",,Rÿ,6221,8.23286529121395%,,,,,,,,,,
1447,KS,Kansas,02,H8KS02132   ,,VernonÿJ.,Fields,"Fields, VernonÿJ.",,Rÿ,1987,2.62959384884136%,,,,,,,,,,
1448,KS,Kansas,02,n/a,,,,,Party Votes:,R,75563,,,,,,,,,,,
1449,KS,Kansas,02,H8KS02173,,Paul,Davis,"Davis, Paul",,Dÿ,38846,100%,,,123859,46.7943389953455%,,,,,,
1450,KS,Kansas,02,n/a,,,,,Party Votes:,D,38846,,,,,,,,,,,
1451,KS,Kansas,02,H8KS02124,,Kelly,Standley,"Standley, Kelly",,LIB,*,,,,14731,5.56542041951279%,,,,,,"*  The Libertarian Party nominated by convention on April 22, 2018.  Convention nominees are noted with an asterisk."
1452,KS,Kansas,02,n/a,,,,,District Votes:,,114409,,,,264688,,,,,,,
1453,KS,Kansas,,n/a,,,,,,,,,,,,,,,,,,
1454,KS,Kansas,03,H8KS03155,,Sharice,Davids,"Davids, Sharice",,Dÿ,23379,37.3424696918875%,,,170518,53.5713051482716%,,,,,W,
1455,KS,Kansas,03,H8KS03122   ,,Brent,Welder,"Welder, Brent",,Dÿ,21190,33.8460555528934%,,,,,,,,,,
1456,KS,Kansas,03,H8KS03114   ,,Tom,Niermann,"Niermann, Tom",,Dÿ,8939,14.2779561390899%,,,,,,,,,,
1457,KS,Kansas,03,H8KS03148   ,,Mike,McCamon,"McCamon, Mike",,Dÿ,4354,6.95449390643219%,,,,,,,,,,
1458,KS,Kansas,03,H8KS03163   ,,SylviaÿD.,Williams,"Williams, SylviaÿD.",,Dÿ,2955,4.71991949781973%,,,,,,,,,,
1459,KS,Kansas,03,H6KS03241   ,,Jay,Sidie,"Sidie, Jay",,Dÿ,1790,2.85910521187727%,,,,,,,,,,
1460,KS,Kansas,03,n/a,,,,,Party Votes:,D,62607,,,,,,,,,,,
1461,KS,Kansas,03,H0KS03137 ,(I),Kevin,Yoder,"Yoder, Kevin",,Rÿ,53130,68.1398450725902%,,,139762,43.9087530356486%,,,,,,
1462,KS,Kansas,03,H8KS03171   ,,Trevor,Keegan,"Keegan, Trevor",,Rÿ,14574,18.6913250910583%,,,,,,,,,,
1463,KS,Kansas,03,H8KS03189,,Joe,Myers,"Myers, Joe",,Rÿ,10268,13.1688298363515%,,,,,,,,,,
1464,KS,Kansas,03,n/a,,,,,Party Votes:,R,77972,,,,,,,,,,,
1465,KS,Kansas,03,H8KS03130,,Chris,Clemmons,"Clemmons, Chris",,LIB,*,,,,8021,2.51994181607975%,,,,,,"*  The Libertarian Party nominated by convention on April 22, 2018.  Convention nominees are noted with an asterisk."
1466,KS,Kansas,03,n/a,,,,,District Votes:,,140579,,,,318301,,,,,,,
1467,KS,Kansas,,n/a,,,,,,,,,,,,,,,,,,
1468,KS,Kansas,04,H8KS04112,(I),Ron,Estes,"Estes, Ron",,Rÿ,57522,81.3825497658494%,,,144248,59.4364073129427%,,,,,W,#  The incumbent was listed as Rep. Ron Estes on the primary election ballot.
1469,KS,Kansas,04,H8KS04187,,RonÿM.,Estes,"Estes, RonÿM.",,Rÿ,13159,18.6174502341506%,,,,,,,,,,
1470,KS,Kansas,04,n/a,,,,,Party Votes:,R,70681,,,,,,,,,,,
1471,KS,Kansas,04,H8KS04120   ,,JamesÿA.,Thompson,"Thompson, JamesÿA.",,Dÿ,20261,65.2360100457209%,,,98445,40.5635926870573%,,,,,,
1472,KS,Kansas,04,H8KS04088   ,,Laura,Lombard,"Lombard, Laura",,Dÿ,10797,34.7639899542791%,,,,,,,,,,
1473,KS,Kansas,04,n/a,,,,,Party Votes:,D,31058,,,,,,,,,,,
1474,KS,Kansas,04,n/a,,,,,District Votes:,,101739,,,,242693,,,,,,,
1475,KS,Kansas,H,n/a,,,,,,,,,,,,,,,,,,
1476,KS,Kansas,H,n/a,,,,,Total State Votes:,,456358,,,,1050322,,,,,,,
1477,,,,n/a,,,,,,,,,,,,,,,,,,
1478,KY,Kentucky,01,H6KY01110,(I),James R.,Comer,"Comer, James R.",,R,Unopposed,,,,172167,68.5880581317526%,,,,,W,
