FEC ID,STATE,DISTRICT,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,PRIMARY RESULTS,PRIMARY %,RUNOFF RESULTS,RUNOFF %,GENERAL RESULTS,GENERAL %,GENERAL RUNOFF RESULTS,GENERAL RUNOFF %,INCUMBENT INDICATOR,NOTES (See Endnotes Page)
S2AK00085,AK,S,Thomas M.,Higgins,"Higgins, Thomas M.",,GRN,360,23.3463035019455%,,,,,,,,
,AK,S,,,   ,Total Party Votes:,GRN,1542,,,,,,,,,
S2AK00069,AK,S,Jim ,Dore,"Dore, Jim ",,AKI,2665,100%,,,6724,2.92923484412846%,,,,
,AK,S,,,   ,Total Party Votes:,AKI,2665,,,,,,,,,
S2AK00101,AK,S,"Leonard J. ""Len""",Karpinski,"Karpinski, Leonard J. ""Len""",,LBT,558,100%,,,2354,1.02549357868507%,,,,
,AK,S,,,   ,Total Party Votes:,LBT,558,,,,,,,,,
,AK,S,,Scattered,Scattered ,,W,,,,,291,0.126770871451723%,,,,
,AK,S,,,   ,Total State Votes:,,104625,,,,229548,,,,,
H6AK00045,AK,00,Don E.,Young,"Young, Don E.",,R,65353,100%,,,169685,74.5131188934021%,,,(I),
,AK,00,,,   ,Total Party Votes:,R,65353,,,,,,,,,
H0AK00055,AK,00,Clifford Mark,Greene,"Greene, Clifford Mark",,D,15467,64.5130344108446%,,,39357,17.2826874519706%,,,,
H0AK00063,AK,00,Dae,Miles,"Miles, Dae",,D,8508,35.4869655891554%,,,,,,,,
,AK,00,,,   ,Total Party Votes:,D,23975,,,,,,,,,
H2AK00077,AK,00,Russell F.,DeForest,"DeForest, Russell F.",,GRN,1486,100%,,,14435,6.33878581622571%,,,,
,AK,00,,,   ,Total Party Votes:,GRN,1486,,,,,,,,,
H2AK00085,AK,00,Rob,Clift,"Clift, Rob",,LBT,548,100%,,,3797,1.66736194972006%,,,,
,AK,00,,,   ,Total Party Votes:,LBT,548,,,,,,,,,
,AK,00,,Scattered,Scattered ,,W,,,,,451,0.198045888681524%,,,,
,AK,,,,   ,Total State Votes:,,91362,,,,227725,,,,,
,AR,,,,   ,,,,,,,,,,,,
S0AR00028,AR,S,Mark,Pryor,"Pryor, Mark",,D,Unopposed,,,,433306,53.8965295493925%,,,,
S6AR00124,AR,S,Tim,Hutchinson,"Hutchinson, Tim",,R,71576,77.6969670654133%,,,370653,46.1034704506076%,,,(I),
S2AR00065,AR,S,Jim Bob,Duggar,"Duggar, Jim Bob",,R,20546,22.3030329345867%,,,,,,,,
,AR,S,,,   ,Total Party Votes:,R,92122,,,,,,,,,
,AR,S,,,   ,Total State Votes:,,92122,,,,803959,,,,,
H6AR01072,AR,01,Marion,Berry,"Berry, Marion",,D,Unopposed,,,,129701,66.8362036092302%,,,(I),
H2AR01048,AR,01,Tommy F.,Robinson,"Robinson, Tommy F.",,R,Unopposed,,,,64357,33.1637963907698%,,,,
,AR,01,,,   ,Total District Votes:,,,,,,194058,,,,,
H6AR02203,AR,02,Vic,Snyder,"Snyder, Vic",,D,55098,72.3726208771722%,,,142752,92.9217710543788%,,,(I),
H2AR02038,AR,02,Jim B.,Baker,"Baker, Jim B.",,D,21033,27.6273791228278%,,,,,,,,
,AR,02,,,   ,Total Party Votes:,D,76131,,,,,,,,,
H2AR02046,AR,02,Ed,Garner,"Garner, Ed ",,W,,,,,10874,7.07822894562118%,,,,
,AR,02,,,   ,Total District Votes:,,76131,,,,153626,,,,,
H2AR03176,AR,03,John,Boozman,"Boozman, John",,R,Unopposed,,,,141478,98.8976267869001%,,,(I),
H2AR03226,AR,03,George N. ,Lyne,"Lyne, George N. ",,W,,,,,1577,1.10237321309986%,,,,
,AR,03,,,   ,Total District Votes:,,,,,,143055,,,,,
H0AR04038,AR,04,Mike,Ross,"Ross, Mike",,D,Unopposed,,,,119633,60.5623250327787%,,,(I),
H2AR04067,AR,04,Jay,Dickey,"Dickey, Jay",,R,10608,86.2649426689437%,,,77904,39.4376749672213%,,,,
H2AR04075,AR,04,"David ""Bear""",Stearns,"Stearns, David ""Bear""",,R,1689,13.7350573310564%,,,,,,,,
,AR,04,,,   ,Total Party Votes:,R,12297,,,,,,,,,
,AR,04,,,   ,Total District Votes:,,12297,,,,197537,,,,,
,AR, ,,,   ,Total State Votes:,,88428,,,,688276,,,,,
,AS,,,,   ,,,,,,,,,,,,
H0AS00018,AS,00,Eni F. H. ,Faleomavaega,"Faleomavaega, Eni F. H. ",,D,,,,,4294,41.3162705667276%,4959,54.8440610484406%,(I),
H2AS00048,AS,00,Fagafaga D.,Langkilde,"Langkilde, Fagafaga D.",,I,,,,,3332,32.0600404118156%,4083,45.1559389515594%,,
H4AS00036,AS,00,Amata Aumua,Coleman,"Coleman, Amata Aumua",,R,,,,,2767,26.6236890214567%,,,,
,AS,,,,   ,Total Votes:,,,,,,10393,,9042,,,1
,AZ,,,,   ,,,,,,,,,,,,
H2AZ01172,AZ,01,Rick,Renzi,"Renzi, Rick",,R,11379,24.4263174841687%,,,85967,49.212019211504%,,,,
H2AZ01214,AZ,01,Lewis Noble,Tenney,"Tenney, Lewis Noble",,R,9569,20.5409466566491%,,,,,,,,
H2AZ01149,AZ,01,Sydney Ann,Hay,"Hay, Sydney Ann",,R,9550,20.5001609960288%,,,,,,,,
H2AZ01222,AZ,01,Alan,Everett,"Everett, Alan",,R,7321,15.7153590211441%,,,,,,,,
H2AZ01180,AZ,01,Bruce,Whiting,"Whiting, Bruce",,R,6872,14.7515294622733%,,,,,,,,
H2AZ01164,AZ,01,David,Stafford,"Stafford, David",,R,1894,4.06568637973597%,,,,,,,,
,AZ,01,,,   ,Total Party Votes:,R,46585,,,,,,,,,
H2AZ08011,AZ,01,George,Cordova,"Cordova, George",,D,11689,21.7219207611685%,,,79730,45.6416333213118%,,,,
H2AZ01198,AZ,01,Stephen,Udall,"Udall, Stephen",,D,10690,19.8654575187691%,,,,,,,,
H2AZ00059,AZ,01,Diane,Prescott,"Prescott, Diane",,D,9629,17.8937783394039%,,,,,,,,
H2AZ01230,AZ,01,Fred,Duval,"Duval, Fred",,D,8648,16.0707648851557%,,,,,,,,
H2AZ01206,AZ,01,Derrick,Watchman,"Watchman, Derrick",,D,7326,13.6140637775961%,,,,,,,,
H2AZ01156,AZ,01,Sam,Martinez,"Martinez, Sam",,D,4908,9.12064223593251%,,,,,,,,
H0AZ03222,AZ,01,Roger,Hartstone,"Hartstone, Roger",,D,922,1.71337248197428%,,,,,,,,
,AZ,01,,,   ,Total Party Votes:,D,53812,,,,,,,,,
