FEC ID,STATE,DISTRICT,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,PRIMARY RESULTS,PRIMARY %,RUNOFF RESULTS,RUNOFF %,GENERAL RESULTS,GENERAL %,GENERAL RUNOFF RESULTS,GENERAL RUNOFF %,INCUMBENT INDICATOR,NOTES (See Endnotes Page)
,DE,S,,,   ,Total State Votes:,,,,,,232314,,,,,
H2DE00072,DE,00,Michael N.,Castle,"Castle, Michael N.",,R,Unopposed,,,,164605,72.0671614018958%,,,(I),
H0DE00068,DE,00,Micheal C.,"Miller, Sr.","Miller, Micheal C., Sr.",,D,8979,52.1337746037276%,,,61011,26.7117620017075%,,,,
H2DE00122,DE,00,Steven L.,Biener,"Biener, Steven L.",,D,8244,47.8662253962724%,,,,,,,,
,DE,00,,,   ,Total Party Votes:,D,17223,,,,,,,,,
H0DE00076,DE,00,Brad C. ,Thomas,"Thomas, Brad C. ",,LBT,,,,,2789,1.22107659639675%,,,,
,DE,,,,   ,Total State Votes:,,17223,,,,228405,,,,,
,DC,,,,   ,,,,,,,,,,,,
H0DC00058,DC,00,Eleanor Holmes,Norton,"Norton, Eleanor Holmes",,D,90307,98.2698020610031%,,,119268,93.0088198825575%,,,(I),
,DC,00,,Scattered,Scattered ,,W(D),1590,1.73019793899692%,,,,,,,,
,DC,00,,,   ,Total Party Votes:,D,91897,,,,,,,,,
,DC,00,,Scattered,Scattered ,,W(R),905,100%,,,,,,,,
,DC,00,,,   ,Total Party Votes:,R,905,,,,,,,,,
H2DC00088,DC,00,Sam ,Jordan,"Jordan, Sam ",,W(DCG),337,100%,,,,,,,,
,DC,00,,,   ,Total Party Votes:,DCG,337,,,,,,,,,
H8DC00127,DC,00,Patricia,Kidd,"Kidd, Patricia",,I,,,,,7733,6.03042898473872%,,,,
,DC,00,,Scattered,Scattered ,,W,,,,,1232,0.96075113270375%,,,,
,DC,,,,   ,Total Votes:,,93139,,,,128233,,,,,
,FL,,,,   ,,,,,,,,,,,,
H2FL01100,FL,01,Jeff,Miller,"Miller, Jeff",,R,41990,64.4473094514535%,,,152635,74.5921828115684%,,,(I),
H2FL01134,FL,01,Mike,Francisco,"Francisco, Mike",,R,23164,35.5526905485465%,,,,,,,,
,FL,01,,,   ,Total Party Votes:,R,65154,,,,,,,,,
H2FL01183,FL,01,Bert,Oram,"Oram, Bert",,D,Unopposed,,,,51972,25.3985319558609%,,,,
H6FL01069,FL,01,Tom,Wells,"Wells, Tom",,W,,,,,19,0.00928523257064107%,,,,
,FL,01,,,   ,Total District Votes:,,65154,,,,204626,,,,,
H6FL00046,FL,02,Allen,Boyd,"Boyd, Allen",,D,Unopposed,,,,152164,66.9032136089237%,,,(I),
H2FL02074,FL,02,Tom,McGurk,"McGurk, Tom",,R,Unopposed,,,,75275,33.0967863910763%,,,,
,FL,02,,,   ,Total District Votes:,,,,,,227439,,,,,
H2FL03056,FL,03,Corrine,Brown,"Brown, Corrine",,D,Unopposed,,,,88462,59.285719072735%,,,(I),
H0FL03035,FL,03,Jennifer,Carroll,"Carroll, Jennifer",,R,Unopposed,,,,60747,40.7116001956934%,,,,
H2FL03114,FL,03,Jon,Arnett,"Arnett, Jon",,W,,,,,4,0.0026807315716459%,,,,
,FL,03,,,   ,Total District Votes:,,,,,,149213,,,,,
H0FL04066,FL,04,Ander,Crenshaw,"Crenshaw, Ander",,R,39303,89.7082990961381%,,,171152,99.7034853577691%,,,(I),
H0FL04033,FL,04,Deborah Katz,Pueschel,"Pueschel, Deborah Katz",,R,4509,10.291700903862%,,,,,,,,
,FL,04,,,   ,Total Party Votes:,R,43812,,,,,,,,,
H2FL04104,FL,04,Charles S.,Knause,"Knause, Charles S.",,W,,,,,509,0.296514642230909%,,,,
,FL,04,,,   ,Total District Votes:,,43812,,,,171661,,,,,
H2FL05127,FL,05,"Virginia ""Ginny""",Brown-Waite,"Brown-Waite, Virginia ""Ginny""",,R,31242,57.5889400921659%,,,121998,47.9041586988703%,,,,
H2FL05135,FL,05,Don,Gessner,"Gessner, Don",,R,23008,42.4110599078341%,,,,,,,,
,FL,05,,,   ,Total Party Votes:,R,54250,,,,,,,,,
H2FL06067,FL,05,Karen L.,Thurman,"Thurman, Karen L.",,D,Unopposed,,,,117758,46.2392655622352%,,,(I),
H8FL05082,FL,05,Jack,Gargan,"Gargan, Jack",,I,,,,,8639,3.39221976589404%,,,,
H2FL05143,FL,05,Brian,Moore,"Moore, Brian",,I,,,,,6223,2.44354480879252%,,,,
H2FL05150,FL,05,,Werder,Werder,,W,,,,,53,0.0208111642079389%,,,,
,FL,05,,,   ,Total District Votes:,,54250,,,,254671,,,,,
H8FL06056,FL,06,Clifford (Cliff) B.,Stearns,"Stearns, Clifford (Cliff) B.",,R,Unopposed,,,,141570,65.3552830815821%,,,(I),
H2FL06091,FL,06,David E.,Bruderly,"Bruderly, David E.",,D,29541,59.4446121340175%,,,75046,34.6447169184178%,,,,
H0FL04058,FL,06,James Francis Jude,O'Neill,"O'Neill, James Francis Jude",,D,20154,40.5553878659825%,,,,,,,,
,FL,06,,,   ,Total Party Votes:,D,49695,,,,,,,,,
,FL,06,,,   ,Total District Votes:,,49695,,,,216616,,,,,
H2FL08055,FL,07,John L.,Mica,"Mica, John L.",,R,Unopposed,,,,142147,59.5776873394219%,,,(I),
H2FL07107,FL,07,Wayne,Hogan,"Hogan, Wayne",,D,Unopposed,,,,96444,40.4223126605782%,,,,
,FL,07,,,   ,Total District Votes:,,,,,,238591,,,,,
H0FL08042,FL,08,Ric,Keller,"Keller, Ric",,R,Unopposed,,,,123497,65.1369227198886%,,,(I),
H2FL00276,FL,08,Eddie,Diaz,"Diaz, Eddie",,D,Unopposed,,,,66099,34.8630772801114%,,,,
,FL,08,,,   ,Total District Votes:,,,,,,189596,,,,,
H2FL09012,FL,09,Michael,Bilirakis,"Bilirakis, Michael",,R,Unopposed,,,,169369,71.4613008843583%,,,(I),
H2FL09079,FL,09,Chuck,Kalogianis,"Kalogianis, Chuck",,D,Unopposed,,,,67623,28.5319482886654%,,,,
H2FL09095,FL,09,Andrew,Pasayan,"Pasayan, Andrew",,W,,,,,16,0.0067508269763046%,,,,
,FL,09,,,   ,Total District Votes:,,,,,,237008,,,,,
H6FL06035,FL,10,C.W. Bill,Young,"Young, C.W. Bill",,R,Unopposed,,,,Unopposed,,,,(I),
H6FL00087,FL,11,Jim,Davis,"Davis, Jim",,D,Unopposed,,,,Unopposed,,,,(I),
H0FL12051,FL,12,Adam H.,Putnam,"Putnam, Adam H.",,R,Unopposed,,,,Unopposed,,,,(I),
H2FL13113,FL,13,Katherine,Harris,"Harris, Katherine",,R,47761,68.3227236964452%,,,139048,54.7845033076053%,,,,
H2FL13154,FL,13,John C.,Hill,"Hill, John C.",,R,22144,31.6772763035548%,,,,,,,,
,FL,13,,,   ,Total Party Votes:,R,69905,,,,,,,,,
H2FL13139,FL,13,Jan,Schneider,"Schneider, Jan",,D,20205,44.4476219807295%,,,114739,45.2068287570575%,,,,
H2FL13105,FL,13,Charles S.,"McKenzie, Jr.","McKenzie, Charles S., Jr.",,D,10728,23.5998064147125%,,,,,,,,
H2FL13121,FL,13,Candice,Brown-McElyea,"Brown-McElyea, Candice",,D,9754,21.4571692551366%,,,,,,,,
H2FL13162,FL,13,Patrick J.,Feheley,"Feheley, Patrick J.",,D,4771,10.4954023494214%,,,,,,,,
,FL,13,,,   ,Total Party Votes:,D,45458,,,,,,,,,
H2FL13170,FL,13,Wayne,Genthner,"Genthner, Wayne",,W,,,,,22,0.00866793533720239%,,,,
,FL,13,,,   ,Total District Votes:,,115363,,,,253809,,,,,
H8FL13037,FL,14,Porter,Goss,"Goss, Porter",,R,Unopposed,,,,Unopposed,,,,(I),
H4FL15114,FL,15,Dave,Weldon,"Weldon, Dave",,R,46086,83.4709845685721%,,,146414,63.1484061296403%,,,(I),
H0FL15013,FL,15,Gerry L.,Newby,"Newby, Gerry L.",,R,9126,16.529015431428%,,,,,,,,
,FL,15,,,   ,Total Party Votes:,R,55212,,,,,,,,,
H2FL15050,FL,15,Jim,Tso,"Tso, Jim",,D,Unopposed,,,,85433,36.8472808670862%,,,,
H2FL15068,FL,15,Donald,Gibbens,"Gibbens, Donald",,W,,,,,10,0.00431300327356949%,,,,
,FL,15,,,   ,Total District Votes:,,55212,,,,231857,,,,,
H4FL16021,FL,16,Mark,Foley,"Foley, Mark",,R,Unopposed,,,,176171,78.880182681114%,,,(I),
H2FL16074,FL,16,Jack,McLain,"McLain, Jack",,CPF,,,,,47169,21.119817318886%,,,,
,FL,16,,,   ,Total District Votes:,,,,,,223340,,,,,
H2FL17056,FL,17,Kendrick,Meek,"Meek, Kendrick",,D,Unopposed,,,,113749,99.9358647713096%,,,,
H2FL17064,FL,17,Michael,Italie,"Italie, Michael",,W,,,,,73,0.0641352286904113%,,,,
,FL ,17,,,   ,Total District Votes:,,,,,,113822,,,,,
H0FL18025,FL,18,Ileana,Ros-Lehtinen,"Ros-Lehtinen, Ileana",,R,38885,87.9512349588347%,,,103512,69.106130705602%,,,(I),
H8FL20016,FL,18,May,Chote,"Chote, May",,R,5327,12.0487650411653%,,,,,,,,
,FL,18,,,   ,Total Party Votes:,R,44212,,,,,,,,,
H2FL18047,FL,18,Ray,Chote,"Chote, Ray",,D,Unopposed,,,,42852,28.6086242464299%,,,,
H0FL22035,FL,18,Orin,Opperman,"Opperman, Orin",,I,,,,,3423,2.28524504796812%,,,,
,FL,18,,,   ,Total District Votes:,,44212,,,,149787,,,,,
H6FL19038,FL,19,Robert,Wexler,"Wexler, Robert",,D,Unopposed,,,,156747,72.1591536846757%,,,(I),
H2FL19078,FL,19,Jack,Merkl,"Merkl, Jack",,R,Unopposed,,,,60477,27.8408463153243%,,,,
,FL ,19,,,   ,Total District Votes:,,,,,,217224,,,,,
H2FL16041,FL,20,Peter,Deutsch,"Deutsch, Peter",,D,Unopposed,,,,Unopposed,,,,(I),
H2FL19037,FL,21,Lincoln,Diaz-Balart,"Diaz-Balart, Lincoln",,R,Unopposed,,,,Unopposed,,,,(I),
H0FL12010,FL,22,Clay,Shaw,"Shaw, Clay",,R,Unopposed,,,,131930,60.7650323561246%,,,(I),
H2FL22056,FL,22,Carol A.,Roberts,"Roberts, Carol A.",,D,Unopposed,,,,83265,38.3506436681022%,,,,
H2FL22049,FL,22,Juan,Xuna,"Xuna, Juan",,I,,,,,1902,0.876033438500334%,,,,
H2FL22064,FL,22,Stan,Smilan,"Smilan, Stan",,W,,,,,18,0.00829053727287382%,,,,
,FL,22,,,   ,Total District Votes:,,,,,,217115,,,,,
H2FL23021,FL,23,Alcee L.,Hastings,"Hastings, Alcee L.",,D,Unopposed,,,,96347,77.4879763226045%,,,(I),
H0FL23025,FL,23,Charles,Laurie,"Laurie, Charles",,R,Unopposed,,,,27986,22.5080023806077%,,,,
H2FL23062,FL,23,B.B.,B.,"B., B.B.",,W,,,,,5,0.00402129678778813%,,,,
,FL,23,,,   ,Total District Votes:,,,,,,124338,,,,,
H2FL00250,FL,24,Tom,Feeney,"Feeney, Tom",,R,Unopposed,,,,135576,61.8382342879818%,,,,
H2FL24011,FL,24,Harry,Jacobs,"Jacobs, Harry",,D,Unopposed,,,,83667,38.1617657120182%,,,,
,FL,24,,,   ,Total District Votes:,,,,,,219243,,,,,
H2FL25018,FL,25,Mario,Diaz-Balart,"Diaz-Balart, Mario",,R,Unopposed,,,,81845,64.6474779229396%,,,,
H2FL00268,FL,25,Annie,Betancourt,"Betancourt, Annie",,D,18427,70.5042852770125%,,,44757,35.3525220770604%,,,,
H2FL25026,FL,25,Lorna,Virgili,"Virgili, Lorna",,D,7709,29.4957147229874%,,,,,,,,
,FL,25,,,   ,Total Party Votes:,D,26136,,,,,,,,,
,FL,25,,,   ,Total District Votes:,,26136,,,,126602,,,,,
,FL,,,,   ,Total State Votes:,,453834,,,,3766558,,,,,
,GA,,,,   ,,,,,,,,,,,,
S2GA00118,GA,S,Saxby ,Chambliss,"Chambliss, Saxby ",,R,300371,61.0992001822576%,,,1071352,52.7342927066495%,,,,
S2GA00092,GA,S,Bob ,Irvin,"Irvin, Bob ",,R,132132,26.8772934753423%,,,,,,,,
S2GA00126,GA,S,Robert (Bob),"Brown, Jr.","Brown, Robert (Bob), Jr.",,R,59109,12.0235063424001%,,,,,,,,
,GA,S,,,   ,Total Party Votes:,R,491612,,,,,,,,,
S6GA00127,GA,S,Max,Cleland,"Cleland, Max",,D,454733,100%,,,932422,45.8958537195241%,,,(I),
,GA,S,,,   ,Total Party Votes:,D,454733,,,,,,,,,
S2GA00134,GA,S,"Claude ""Sandy"" ",Thomas,"Thomas, Claude ""Sandy"" ",,LBT,,,,,27830,1.3698535738264%,,,,
,GA,S,,,   ,Total State Votes:,,946345,,,,2031604,,,,,
H2GA01157,GA,01,Jack ,Kingston,"Kingston, Jack ",,R,30878,100%,,,103661,72.1436177246376%,,,(I),
,GA,01,,,   ,Total Party Votes:,R,30878,,,,,,,,,
H0GA01037,GA,01,Don ,Smart,"Smart, Don ",,D,21818,100%,,,40026,27.8563822753624%,,,,
,GA,01,,,   ,Total Party Votes:,D,21818, ,,,,,,,,
,GA,01,,,   ,Total District Votes:,,52696,,,,143687,,,,,
H2GA02031,GA,02,Sanford,Bishop,"Bishop, Sanford",,D,47567,100%,,,102925,100%,,,(I),
,GA,02,,,   ,Total Party Votes:,D,47567,,,,,,,,,
,GA,02,,,   ,Total District Votes:,,47567,,,,102925,,,,,
H0GA08032,GA,03,Jim,Marshall,"Marshall, Jim",,D,26614,53.5816388161868%,,,75394,50.5118585019429%,,,,
H2GA03096,GA,03,Chuck ,Byrd,"Byrd, Chuck ",,D,16542,33.3038051137508%,,,,,,,,
H2GA03120,GA,03,Joe N.,Lester,"Lester, Joe N.",,D,5663,11.4012482383733%,,,,,,,,
H2GA03112,GA,03,Sig ,Dayan,"Dayan, Sig ",,D,851,1.71330783168915%,,,,,,,,
,GA,03,,,   ,Total Party Votes:,D,49670,,,,,,,,,
H2GA03104,GA,03,Calder B.,"Clay, III","Clay, Calder B., III",,R,21149,100%,,,73866,49.4881414980571%,,,,
,GA,03,,,   ,Total Party Votes:,R,21149,,,,,,,,,
,GA,03,,,   ,Total District Votes:,,70819,,,,149260,,,,,
H2GA04110,GA,04,Denise ,Majette,"Majette, Denise ",,D,68612,58.3088297781933%,,,118045,77.0292403766468%,,,,
H2GA11016,GA,04,Cynthia ,McKinney,"McKinney, Cynthia ",,D,49058,41.6911702218068%,,, ,,,,(I),
,GA,04,,,   ,Total Party Votes:,D,117670,,,,,,,,,
H2GA04128,GA,04,Cynthia ,Van Auken,"Van Auken, Cynthia ",,R,2169,38.7736860922417%,1292,61.2903225806452%,35202,22.9707596233532%,,,,
H2GA04102,GA,04,Catherine ,Davis,"Davis, Catherine ",,R,1910,34.143725420093%,816,38.7096774193548%,,,,,,
H2GA04136,GA,04,Barbara Brunner ,Pereira,"Pereira, Barbara Brunner ",,R,1515,27.0825884876654%,,,,,,,,
,GA,04,,,   ,Total Party Votes:,R,5594,,2108,,,,,,,
,GA,04,,,   ,Total District Votes:,,123264,,2108,,153247,,,,,
H6GA05217,GA,05,John,Lewis,"Lewis, John",,D,49842,100%,,,116259,100%,,,(I),
,GA,05,,,   ,Total Party Votes:,D,49842,,,,,,,,,
,GA,05,,,   ,Total District Votes:,,49842,,,,116259,,,,,
H8GA06146,GA,06,Johnny ,Isakson,"Isakson, Johnny ",,R,59186,100%,,,163525,79.8738820587215%,,,(I),
,GA,06,,,   ,Total Party Votes:,R,59186,,,,,,,,,
H2GA06081,GA,06,Jeff ,Weisberger,"Weisberger, Jeff ",,D,11408,100%,,,41204,20.1261179412785%,,,,
,GA,06,,,   ,Total Party Votes:,D,11408,,,,,,,,,
,GA,06,,,   ,Total District Votes:,,70594,,,,204729,,,,,
H0GA04023,GA,07,John,Linder,"Linder, John",,R,56892,64.4551696009789%,,,138997,78.9213097813435%,,,(I),
H4GA07259,GA,07,Bob ,Barr,"Barr, Bob ",,R,31374,35.5448303990211%,,,,,,,(I),
,GA,07,,,   ,Total Party Votes:,R,88266,,,,,,,,,
H2GA07055,GA,07,Michael R.,Berlon,"Berlon, Michael R.",,D,9618,100%,,,37124,21.0786902186565%,,,,
,GA,07,,,   ,Total Party Votes:,D,9618,,,,,,,,,
,GA,07,,,   ,Total District Votes:,,97884,,,,176121,,,,,
H2GA03070,GA,08,Mac ,Collins,"Collins, Mac ",,R,53691,100%,,,142505,78.3308689749185%,,,(I),
,GA,08,,,   ,Total Party Votes:,R,53691,,,,,,,,,
H2GA08053,GA,08,Angelos ,Petrakopoulos,"Petrakopoulos, Angelos ",,D,16922,100%,,,39422,21.6691310250815%,,,,
,GA,08,,,   ,Total Party Votes:,D,16922,,,,,,,,,
,GA,08,,,   ,Total District Votes:,,70613,,,,181927,,,,,
H4GA10022,GA,09,Charlie ,Norwood,"Norwood, Charlie ",,R,42452,81.6793011890561%,,,123313,72.842569128167%,,,(I),
H2GA09127,GA,09,Lee ,Dickerson,"Dickerson, Lee ",,R,9522,18.3206988109439%,,,,,,,,
,GA,09,,,   ,Total Party Votes:,R,51974,,,,,,,,,
H2GA09135,GA,09,Barry Gordon ,Irwin,"Irwin, Barry Gordon ",,D,24792,100%,,,45974,27.157430871833%,,,,
,GA,09,,,   ,Total Party Votes:,D,24792,,,,,,,,,
,GA,09,,,   ,Total District Votes:,,76766,,,,169287,,,,,
H2GA09036,GA,10,Nathan ,Deal,"Deal, Nathan ",,R,43874,100%,,,129242,100%,,,(I),
,GA,10,,,   ,Total Party Votes:,R,43874,,,,,,,,,
,GA,10,,,   ,Total District Votes:,,43874,,,,129242,,,,,
H2GA11149,GA,11,Phil ,Gingrey,"Gingrey, Phil ",,R,12377,40.1277395927895%,9930,63.5642043272308%,69427,51.6439293631075%,,,,
H2GA11131,GA,11,Cecil ,Staton,"Staton, Cecil ",,R,9750,31.61068603294%,5692,36.4357956727692%,,,,,,
H4GA07242,GA,11,Bob ,Herriott,"Herriott, Bob ",,R,8717,28.2615743742705%,,,,,,,,
,GA,11,,,   ,Total Party Votes:,R,30844,,15622,,,,,,,
H0GA07083,GA,11,Roger,Kahn,"Kahn, Roger",,D,20410,52.2890887198012%,,,65007,48.3560706368925%,,,,
H4GA07135,GA,11,George W. (Buddy),Darden,"Darden, George W. (Buddy)",,D,18623,47.7109112801988%,,,,,,,,
,GA,11,,,   ,Total Party Votes:,D,39033,,,,,,,,,
,GA,11,,,   ,Total District Votes:,,69877,,15622,,134434,,,,,
H2GA12097,GA,12,Max ,Burns,"Burns, Max ",,R,13956,50.4628290425224%,,,77479,55.1911556242565%,,,,
H2GA12089,GA,12,Barbara,Dooley,"Dooley, Barbara",,R,13700,49.5371709574776%,,,,,,,,
,GA,12,,,   ,Total Party Votes:,R,27656,,,,,,,,,
H2GA12030,GA,12,"Charles ""Champ""",Walker,"Walker, Charles ""Champ""",,D,14011,33.3119353304803%,16405,54.1740968231953%,62904,44.8088443757435%,,,,
H2GA12048,GA,12,Ben,Allen,"Allen, Ben",,D,5703,13.5592011412268%,13877,45.8259031768047%,,,,,,
H2GA06057,GA,12,Tony,Center,"Center, Tony",,D,5547,13.188302425107%,,,,,,,,
H2GA12071,GA,12,Merwyn,Scott,"Scott, Merwyn",,D,4619,10.9819305753685%,,,,,,,,
H2GA10083,GA,12,Chuck ,Pardue,"Pardue, Chuck ",,D,4463,10.6110318592487%,,,,,,,,
H2GA12022,GA,12,Robert D.,Finch,"Finch, Robert D.",,D,4385,10.4255825011888%,,,,,,,,
H8GA10023,GA,12,Denise ,Freeman,"Freeman, Denise ",,D,3332,7.92201616737993%,,,,,,,,
,GA,12,,,   ,Total Party Votes:,D,42060,,30282,,,,,,,
,GA,12,,,   ,Total District Votes:,,69716,,30282,,140383,,,,,
H2GA13012,GA,13,David ,Scott,"Scott, David ",,D,22624,53.8141338217454%,,,70011,59.6264563602916%,,,,
H2GA00019,GA,13,Greg K.,Hecht,"Hecht, Greg K.",,D,8384,19.9424371446921%,,,,,,,,
H8GA06112,GA,13,David ,Worley,"Worley, David ",,D,5568,13.2442139815894%,,,,,,,,
H2GA13020,GA,13,Donzella J.,James,"James, Donzella J.",,D,4703,11.1866986988892%,,,,,,,,
H2GA13046,GA,13,Embry ,Malone,"Malone, Embry ",,D,762,1.81251635308389%,,,,,,,,
,GA,13,,,   ,Total Party Votes:,D,42041,,,,,,,,,
H2GA11123,GA,13,Clay ,Cox,"Cox, Clay ",,R,16543,100%,,,47405,40.3735436397084%,,,,
,GA,13,,,   ,Total Party Votes:,R,16543,,,,,,,,,
,GA,13,,,   ,Total District Votes:,,58584,,,,117416,,,,,
,GA,,,,   ,Total State Votes:,,902096,,48012,,1918917,,,,,3
,GU,,,,   ,,,,,,,,,,,,
H2GU00033,GU,00,Madeleine Z.,Bordallo,"Bordallo, Madeleine Z.",,D,17845,59.0991886073853%,,,27081,63.6017755231452%,,,,
H2GU00041,GU,00,Judi,Won Pat,"Won Pat, Judi",,D,12298,40.7285974499089%,,,  , ,,,,
,GU,00,,,Scattered ,,W(D),52,0.172511030753409%,,,,,,,,
,GU,00,,,   ,Total Party Votes:,D,30195,,,,,,,,,
H2GU00058,GU,00,Joseph F.,Ada,"Ada, Joseph F.",,R,8230,99.1566265060241%,,,14836,34.8434674369995%,,,,
,GU,00,,,Scattered ,,W(R),70,0.843373493975904%,,,,,,,,
,GU,00,,,   ,Total Party Votes:,R,8300,,,,,,,,,
,GU,00,,,Scattered ,,W,,,,,662,1.55475703985533%,,,,
,GU,,,,   ,Total Votes:,,38495,,,,42579,,,,,
,HI,,,,   ,,,,,,,,,,,,
H6HI01121,HI,01,Neil ,Abercrombie,"Abercrombie, Neil ",,D,69222,100%,,,131673,72.8549849778403%,,,(I),
,HI,01,,,   ,Total Party Votes:,D,69222,,,,,,,,,
H2HI01070,HI,01,Mark,Terry,"Terry, Mark",,R,8826,38.1846499956736%,,,45032,24.9163130142254%,,,,
H2HI01054,HI,01,Stephen N.,Bischoff,"Bischoff, Stephen N.",,R,8065,34.8922730812495%,,,,,,,,
H2HI01062,HI,01,Harry J.,Friel,"Friel, Harry J.",,R,3957,17.1194946785498%,,,,,,,,
H2HI01047,HI,01,Opassi,White,"White, Opassi",,R,2266,9.80358224452713%,,,,,,,,
,HI,01,,,   ,Total Party Votes:,R,23114,,,,,,,,,
H2HI01088,HI,01,James H.,Bracken,"Bracken, James H.",,LBT,148,100%,,,4028,2.22870200793436%,,,,
,HI,01,,,   ,Total Party Votes:,LBT,148,,,,,,,,,
,HI,01,,,   ,Total District Votes:,,92484,,,,180733,,,,,
H6HI02038,HI,02,Patsy Takemoto,Mink,"Mink, Patsy Takemoto",,D,67246,82.5874435056003%,,,100671,56.1620297794713%,,,(I),
H2HI02094,HI,02,Steve,Tataii,"Tataii, Steve",,D,14178,17.4125564943997%,,,,,,,,
,HI,02,,,   ,Total Party Votes:,D,81424,,,,,,,,,
H2HI02102,HI,02,Bob ,McDermott,"McDermott, Bob ",,R,20180,71.7434584755404%,,,71661,39.978019648426%,,,,
H0HI02072,HI,02,James M. (The Ump),Donovan,"Donovan, James M. (The Ump)",,R,7948,28.2565415244596%,,,,,,,,
,HI,02,,,   ,Total Party Votes:,R,28128,,,,,,,,,
H8HI02042 ,HI,02,Jeff,Mallan,"Mallan, Jeff",,LBT,95,57.2289156626506%,,,4719,2.63262129639444%,,,,
H0HI02098,HI,02,Lawrence (Lehr),Duquesne,"Duquesne, Lawrence (Lehr)",,LBT,71,42.7710843373494%,,,,,,,,
,HI,02,,,   ,Total Party Votes:,LBT,166,,,,,,,,,
H6HI01162,HI,02,Nicholas ,Bedworth,"Bedworth, Nicholas ",,NL,232,100%,,,2200,1.22732927570836%,,,,
,HI,02,,,   ,Total Party Votes:,NL,232,,,,,,,,,
,HI,02,,,   ,Total District Votes:,,109950,,,,179251,,,,,
,HI, ,,,   ,Total State Votes:,,202434,,,,359984,,,,,
,ID,,,,   ,,,,,,,,,,,,
S0ID00057,ID,S,Larry E.,Craig,"Craig, Larry E.",,R,130126,100%,,,266215,65.1618919871544%,,,(I),
,ID,S,,,   ,Total Party Votes:,R,130126,,,,,,,,,
S2ID00061,ID,S,Alan,Blinken,"Blinken, Alan",,D,26346,70.9026320038753%,,,132975,32.5485137463774%,,,,
S2ID00079,ID,S,"D.P. ""Dave""",Sneddon,"Sneddon, D.P. ""Dave""",,D,10812,29.0973679961247%,,,,,,,,
,ID,S,,,   ,Total Party Votes:,D,37158,,,,,,,,,
S2ID00103,ID,S,Donovan,Bramwell,"Bramwell, Donovan",,LBT,1179,100%,,,9354,2.28959426646824%,,,,
,ID,S,,,   ,Total Party Votes:,LBT,1179,,,,,,,,,
,ID,S,,,   ,Total State Votes:,,168463,,,,408544,,,,,
H0ID01139,ID,01,"C.L. ""Butch""",Otter,"Otter, C.L. ""Butch""",,R,60352,100%,,,120743,58.5730155573127%,,,(I),
,ID,01,,,   ,Total Party Votes:,R,60352,,,,,,,,,
H2ID01085,ID,01,Betty,Richardson,"Richardson, Betty",,D,17764,100%,,,80269,38.9388816392663%,,,,
,ID,01,,,   ,Total Party Votes:,D,17764,,,,,,,,,
H2ID01093,ID,01,Steve,Gothard,"Gothard, Steve",,LBT,757,100%,,,5129,2.48810280342096%,,,,
,ID,01,,,   ,Total Party Votes:,LBT,757,,,,,,,,,
,ID,01,,,   ,Total District Votes:,,78873,,,,206141,,,,,
H8ID02064,ID,02,Michael K.,Simpson,"Simpson, Michael K.",,R,60092,100%,,,135605,68.1836465844068%,,,(I),
,ID,02,,,   ,Total Party Votes:,R,60092,,,,,,,,,
H2ID02117,ID,02,Edward W.,Kinghorn,"Kinghorn, Edward W.",,D,15600,100%,,,57769,29.0468720145614%,,,,
,ID,02,,,   ,Total Party Votes:,D,15600,,,,,,,,,
H2ID02125,ID,02,Gregory P.,Corron,"Corron, Gregory P.",,LBT,399,100%,,,,,,,,
,ID,02,"John H. ""Lack""",Lewis,"Lewis, John H. ""Lack""",,LBT, ,,,,5508,2.76948140103177%,,,,4
,ID,02,,,   ,Total Party Votes:,LBT,399,,,,,,,,,
,ID,02,,,   ,Total District Votes:,,76091,,,,198882,,,,,
,ID,,,,   ,Total State Votes:,,154964,,,,405023,,,,,
 ,IL,,,,   ,,,,,,,,,,,,
S6IL00151,IL,S,Richard J.,Durbin,"Durbin, Richard J.",,D,918467,100%,,,2103766,60.3342672227749%,,,(I),
,IL,S,,,   ,Total Party Votes:,D,918467,,,,,,,,,
S2IL00127,IL,S,Jim,Durkin,"Durkin, Jim",,R,378010,45.8065681003259%,,,1325703,38.0200645224014%,,,,
S2IL00119,IL,S,James D.,Oberweis,"Oberweis, James D.",,R,259515,31.447558320034%,,,,,,,,
S0IL00188,IL,S,John,Cox,"Cox, John",,R,187706,22.7458735796401%,,,,,,,,
,IL,S,,,   ,Total Party Votes:,R,825231,,,,,,,,,
S2IL00135,IL,S,Steven,Burgauer,"Burgauer, Steven",,LBT,,,,,57382,1.64566825482362%,,,,
,IL,S,,,   ,Total State Votes:,,1743698,,,,3486851,,,,,
H2IL01042,IL,01,Bobby L.,Rush,"Rush, Bobby L.",,D,111462,100%,,,149068,81.1669643246069%,,,(I),
,IL,01,,,   ,Total Party Votes:,D,111462,,,,,,,,,
H2IL01117,IL,01,Raymond G.,Wardingly,"Wardingly, Raymond G.",,R,9430,100%,,,29776,16.2129198065949%,,,,
,IL,01,,,   ,Total Party Votes:,R,9430,,,,,,,,,
H2IL01125,IL,01,Dorothy G.,Tsatsos,"Tsatsos, Dorothy G.",,LBT,,,,,4812,2.62011586879819%,,,,
,IL,01,,,   ,Total District Votes:,,120892,,,,183656,,,,,
