cand_id,cycle,state,district,cand_name_first,cand_name_last,party,outcome,unopposed,votes,vote_share
H6AK00045,2020,AK,0,Don,Young,REP,1,False,192126,0.544012005719706
H8AK00140,2020,AK,0,Alyse S.,Galvin,N,0,False,159856,0.452638285220789
H0AL01055,2020,AL,1,Jerry,Carl,REP,1,False,211825,0.643698245080909
H0AL01097,2020,AL,1,James,Averhart,DEM,0,False,116949,0.355387069816911
H0AL02202,2020,AL,2,Phyllis,Harvey-Hall,DEM,0,False,105286,0.346827245206197
H8AL02171,2020,AL,2,Barry,Moore,REP,1,False,197996,0.6522273354657431
H2AL03032,2020,AL,3,Mike,Rogers,REP,1,False,217384,0.674615341646133
H8AL03062,2020,AL,3,Adia,Winfrey,DEM,0,False,104595,0.324593307968743
H6AL04098,2020,AL,4,Robert,Aderholt,REP,1,False,261553,0.822418710243406
H8AL04086,2020,AL,4,Rick,Neighbors,DEM,0,False,56237,0.176829785962915
H0AL05163,2020,AL,5,Mo,Brooks,REP,1,False,253094,0.958108721986675
H4AL06098,2020,AL,6,Gary,Palmer,REP,1,False,274160,0.971299612769742
H0AL07086,2020,AL,7,Terri A.,Sewell,DEM,1,False,225742,0.971639600397708
H0AR01083,2020,AR,1,Rick,Crawford,REP,1,False,237596,1.0
H0AR02206,2020,AR,2,Joyce,Elliott,DEM,0,False,148410,0.44634183751725603
H4AR02141,2020,AR,2,French,Hill,REP,1,False,184093,0.553658162482745
H0AR03055,2020,AR,3,Steve,Womack,REP,1,False,214960,0.6430883558406281
H0AR03105,2020,AR,3,Celeste,Williams,DEM,0,False,106325,0.318088804590411
H8AR03090,2020,AR,3,Michael J.,Kalagias,LIB,0,False,12977,0.038822839568960904
H0AR04087,2020,AR,4,William H.,Hanson,DEM,0,False,75750,0.275419492064646
H0AR04095,2020,AR,4,Frank,Gilbert,LIB,0,False,7668,0.0278800879888014
H4AR04048,2020,AR,4,Bruce,Westerman,REP,1,False,191617,0.696700419946552
H0AS01016,2020,AS,0,Oreta Tufaga Mapu,Crichton,DEM,0,False,1709,0.145459188016001
H4AS00036,2020,AS,0,Aumua,Amata,REP,1,False,9790,0.83326240531109
H4AS00093,2020,AS,0,Meleagi,Suitonu-Chapman,DEM,0,False,250,0.0212784066729083
H6AZ01199,2020,AZ,1,Tom,O'Halleran,DEM,1,False,188469,0.516101736687314
H8AZ01237,2020,AZ,1,Tiffany,Shedd,REP,0,False,176709,0.48389826331268604
H0AZ02190,2020,AZ,2,Brandon,Martin,REP,0,False,170975,0.448689687025986
H0AZ02216,2020,AZ,2,Iman,Bah,W,0,False,99,0.000259805696830371
H0AZ02307,2020,AZ,2,Brandon,Schlass,W,0,False,35,9.18504988794239e-05
H8AZ01104,2020,AZ,2,Ann,Kirkpatrick,DEM,1,False,209945,0.550958656778304
H0AZ03461,2020,AZ,3,Daniel,Wood,REP,0,False,95594,0.354265723381152
H2AZ07070,2020,AZ,3,R ul,Grijalva,DEM,1,False,174243,0.6457342766188481
H0AZ01259,2020,AZ,4,Paul,Gosar,REP,1,False,278002,0.697405819533745
H0AZ04527,2020,AZ,4,Emily,Robinson,W,0,False,7,1.75604518555126e-05
H0AZ04550,2020,AZ,4,Brett,Brennan,W,0,False,67,0.00016807861061704897
H0AZ04568,2020,AZ,4,Miko,Jones,W,0,False,19,4.76640836078199e-05
H8AZ04132,2020,AZ,4,Ana,Perez Gissy,W,0,False,39,9.78368031949988e-05
H8AZ04165,2020,AZ,4,Delina,DiSanto,DEM,0,False,120484,0.302250497337083
H0AZ05201,2020,AZ,5,Karen,Stephens,W,0,False,72,0.00016155922604155202
H6AZ05083,2020,AZ,5,Andy,Biggs,REP,1,False,262414,0.588825038089831
H8AZ05154,2020,AZ,5,Joan,Greene,DEM,0,False,183171,0.411013402684127
H4AZ06045,2020,AZ,6,David,Schweikert,REP,1,False,217783,0.521727152292497
H8AZ08083,2020,AZ,6,Hiral,Tipirneni,DEM,0,False,199644,0.47827284770750306
H0AZ07082,2020,AZ,7,Joshua,Barnett,REP,0,False,50226,0.232816642871711
H0AZ07116,2020,AZ,7,Roxanne,Rodriguez,W,0,False,51,0.00023640442771587
H4AZ07043,2020,AZ,7,Ruben,Gallego,DEM,1,False,165452,0.766933046557766
H0AZ08072,2020,AZ,8,Michael,Muscato,DEM,0,False,170816,0.404329805641624
H0AZ08114,2020,AZ,8,Taliban,Hendrix,W,0,False,18,4.2606878170366e-05
H8AZ08158,2020,AZ,8,Debbie,Lesko,REP,1,False,251633,0.5956275874802059
H6AZ09010,2020,AZ,9,Dave,Giles,REP,0,False,135180,0.38373538779472804
H8AZ09040,2020,AZ,9,Greg,Stanton,DEM,1,False,217094,0.616264612205272
H2CA02142,2020,CA,1,Doug,LaMalfa,REP,1,False,204190,0.569944426301348
H8CA01257,2020,CA,1,Audrey,Denney,DEM,0,False,154073,0.430055573698652
H2CA06259,2020,CA,2,Jared,Huffman,DEM,1,False,294435,0.757379326310916
H4CA02098,2020,CA,2,Dale K.,Mensing,REP,0,False,94320,0.24262067368908402
H0CA03128,2020,CA,3,Tamika,Hamilton,REP,0,False,145945,0.453262233375157
H0CA10149,2020,CA,3,John,Garamendi,DEM,1,False,176043,0.546737766624843
H0CA04175,2020,CA,4,Brynne S.,Kennedy,DEM,0,False,194731,0.44054594567691197
H8CA04152,2020,CA,4,Tom,McClintock,REP,1,False,247291,0.559454054323088
H0CA05107,2020,CA,5,Scott,Giblin,REP,0,False,85227,0.239092745329069
H8CA01109,2020,CA,5,Mike,Thompson,DEM,1,False,271233,0.7609072546709309
H0CA06170,2020,CA,6,Chris,Bish,REP,0,False,83466,0.26656744827762396
H6CA05195,2020,CA,6,Doris,Matsui,DEM,1,False,229648,0.7334325517223761
H0CA03078,2020,CA,7,Ami,Bera,DEM,1,False,217416,0.566239110335578
H0CA07137,2020,CA,7,Buzz,Patterson,REP,0,False,166549,0.43376088966442305
