cand_id,cycle,state,district,cand_name_first,cand_name_last,party,outcome,unopposed,votes,vote_share
H2AK00143,2016,AK,0,Jim C.,McDermott,LIB,0,False,31770,0.103083082953166
H6AK00045,2016,AK,0,Don,Young,REP,1,False,155088,0.5032089760478651
H6AK00235,2016,AK,0,Steve,Lindbeck,DEM,0,False,111019,0.360219728875593
H6AK00300,2016,AK,0,Bernie,Souphanavong,NAF,0,False,9093,0.029503760569504
H4AL01123,2016,AL,1,Bradley,Byrne,REP,1,False,208083,0.963824672407165
H0AL02087,2016,AL,2,Martha,Roby,REP,1,False,134886,0.487685477106413
H6AL02167,2016,AL,2,Nathan,Mathis,DEM,0,False,112089,0.40526205420414796
H2AL03032,2016,AL,3,Mike,Rogers,REP,1,False,192164,0.66931843513152
H4AL03061,2016,AL,3,Jesse,Smith,DEM,0,False,94549,0.329319689032546
H6AL04098,2016,AL,4,Robert,Aderholt,REP,1,False,235925,0.985303452999449
H0AL05163,2016,AL,5,Mo,Brooks,REP,1,False,205647,0.666979106530101
H6AL05202,2016,AL,5,"Will, Jr.",Boyd,DEM,0,False,102234,0.331577615900054
H4AL06098,2016,AL,6,Gary,Palmer,REP,1,False,245313,0.744939357315081
H6AL06127,2016,AL,6,David J.,Putman,DEM,0,False,83709,0.254198222929433
H0AL07086,2016,AL,7,Terri A.,Sewell,DEM,1,False,229330,0.984130662409668
H0AR01083,2016,AR,1,Rick,Crawford,REP,1,False,183866,0.762780702518596
H6AR01114,2016,AR,1,Mark,West,LIB,0,False,57181,0.237219297481404
H2AR02061,2016,AR,2,Chris,Hayes,LIB,0,False,14342,0.047417213288193
H4AR02141,2016,AR,2,French,Hill,REP,1,False,176472,0.583447947524334
H6AR02245,2016,AR,2,Dianne,Curry,DEM,0,False,111347,0.368133067075751
H0AR03055,2016,AR,3,Steve,Womack,REP,1,False,217192,0.773181159600864
H6AR03110,2016,AR,3,Steve,Isaacson,LIB,0,False,63715,0.22681884039913602
H4AR04048,2016,AR,4,Bruce,Westerman,REP,1,False,182885,0.74904058420947
H6AR04076,2016,AR,4,Kerry,Hicks,LIB,0,False,61274,0.25095941579053
H4AS00036,2016,AS,0,Aumua,Amata,REP,1,False,8923,0.7540138583741761
H4AS00069,2016,AS,0,Paepaetele Mapu S.,Jamias,DEM,0,False,978,0.0826432313672469
H4AS00093,2016,AS,0,Meleagi,Suitonu-Chapman,DEM,0,False,181,0.01529491296265
H6AS00031,2016,AS,0,Vaitinasa Salu,Hunkin-Finau,DEM,0,False,1581,0.133598107148893
H6AS00049,2016,AS,0,Tim,Jones,IND,0,False,171,0.014449890147034
H2AZ04127,2016,AZ,1,Paul,Babeu,REP,0,False,121745,0.43370382245021605
H6AZ01199,2016,AZ,1,Tom,O'Halleran,DEM,1,False,142219,0.5066403049410421
H6AZ01264,2016,AZ,1,Ray,Parrish,W,0,False,16746,0.059655872608742104
H2AZ08078,2016,AZ,2,Matt,Heinz,DEM,0,False,135873,0.43041507353989306
H2AZ08102,2016,AZ,2,Martha,McSally,REP,1,False,179806,0.5695849264601069
H2AZ07070,2016,AZ,3,Ra£l,Grijalva,DEM,1,False,148973,0.9863475353394909
