cand_id,cycle,state,district,cand_name_first,cand_name_last,party,outcome,unopposed,votes,vote_share
H2AK00119,2012,AK,0,Sharon M.,Cissna,DEM,0,False,82927,0.286148569377924
H2AK00143,2012,AK,0,Jim C.,McDermott,LIB,0,False,15028,0.051855736980856
H2AK00176,2012,AK,0,Ted,Gianoutsos,NAF,0,False,5589,0.0192854480959545
H6AK00045,2012,AK,0,Don,Young,REP,1,False,185296,0.639383859436033
H2AL01077,2012,AL,1,Jo,Bonner,REP,1,False,196374,0.978562458888955
H0AL02087,2012,AL,2,Martha,Roby,REP,1,False,180591,0.63598905452663
H2AL02141,2012,AL,2,Therese,Ford,DEM,0,False,103092,0.363060083887122
H2AL03032,2012,AL,3,Mike,Rogers,REP,1,False,175306,0.6399664147774979
H2AL03099,2012,AL,3,John Andrew,Harris,DEM,0,False,98141,0.358270361041142
H2AL04055,2012,AL,4,Daniel H.,Boman,DEM,0,False,69706,0.25901649090733403
H6AL04098,2012,AL,4,Robert,Aderholt,REP,1,False,199071,0.739716406929302
H0AL05163,2012,AL,5,Mo,Brooks,REP,1,False,189185,0.6494663448829869
H2AL05094,2012,AL,5,Charlie L.,Holley,DEM,0,False,101772,0.349380177347207
H2AL06035,2012,AL,6,Spencer,Bachus,REP,1,False,219262,0.711653932788492
H2AL06142,2012,AL,6,"Penny ""Colonel""",Bailey,DEM,0,False,88267,0.286486293500205
H0AL07086,2012,AL,7,Terri A.,Sewell,DEM,1,False,232520,0.758486159225987
H0AL07177,2012,AL,7,Don,Chamberlain,REP,0,False,73835,0.24085164960627398
H0AR01083,2012,AR,1,Rick,Crawford,REP,1,False,138800,0.562300733664718
H2AR01071,2012,AR,1,Scott,Ellington,DEM,0,False,96601,0.391345916230154
H2AR01089,2012,AR,1,Jessica,Paxton,LIB,0,False,6427,0.026036792617169603
H2AR01097,2012,AR,1,Jacob,Holloway,GRE,0,False,5015,0.0203165574879579
H0AR02107,2012,AR,2,Tim,Griffin,REP,1,False,158175,0.551905456423283
H2AR02053,2012,AR,2,Herb,Rule,DEM,0,False,113156,0.394824806872344
H2AR02061,2012,AR,2,Chris,Hayes,LIB,0,False,6701,0.023381182004061397
H2AR02079,2012,AR,2,Barbara,Ward,GRE,0,False,8566,0.0298885547003119
H0AR03055,2012,AR,3,Steve,Womack,REP,1,False,186467,0.7590450215745339
H2AR03259,2012,AR,3,Rebekah,Kennedy,GRE,0,False,39318,0.160050476268013
H2AR03267,2012,AR,3,David,Pangrac,LIB,0,False,19875,0.0809045021574534
