cand_id,cycle,state,district,cand_name_first,cand_name_last,party,outcome,unopposed,votes,vote_share
H6AK00045,2006,AK,0,Don E.,Young,REP,1,False,132743,0.565718425706919
H6AK00144,2006,AK,0,Diane E.,Benson,DEM,0,False,93879,0.40008949689957196
H6AK00185,2006,AK,0,Eva L.,Ince,GRE,0,False,1819,0.00775213620575763
H6AK00193,2006,AK,0,Alexander,Crawford,LBT,0,False,4029,0.0171706194463978
H6AK00219,2006,AK,0,"William W. ""Bill""",Ratigan,IPN,0,False,1615,0.0068827377527754694
H2AL01077,2006,AL,1,Jo,Bonner,REP,1,False,112944,0.681037861566199
H6AL01052,2006,AL,1,Vivian Sheffield,Beckerle,DEM,0,False,52770,0.318196344691602
H2AL02067,2006,AL,2,Terry,Everett,REP,1,False,124302,0.694738960088085
H4AL02063,2006,AL,2,Charles (Chuck) Dean,James,DEM,0,False,54450,0.304327656649098
H2AL03032,2006,AL,3,Mike,Rogers,REP,1,False,98257,0.594412616983563
H6AL03132,2006,AL,3,Mark Edwin,Layfield,IND,0,False,3414,0.020653232587824602
H6AL03140,2006,AL,3,Greg A.,Pierce,DEM,0,False,63559,0.384504630945971
H6AL04098,2006,AL,4,Robert B.,Aderholt,REP,1,False,128484,0.7018222338751969
H6AL04130,2006,AL,4,Barbara,Bobo,DEM,0,False,54382,0.297052525782206
H0AL05049,2006,AL,5,Bud,Cramer,DEM,1,False,143015,0.982549551715846
H2AL06035,2006,AL,6,Spencer,Bachus,REP,1,False,163514,0.983247143716176
H0AL07060,2006,AL,7,Artur,Davis,DEM,1,False,133870,0.990426444911367
H6AR01072,2006,AR,1,Marion,Berry,DEM,1,False,127577,0.69264555779964
H6AR01106,2006,AR,1,"Mickey ""Stubby""",Stumbaugh,REP,0,False,56611,0.307354442200361
H6AR02203,2006,AR,2,Vic,Snyder,DEM,1,False,124871,0.605279612996418
H6AR02229,2006,AR,2,Andy,Mayberry,REP,0,False,81432,0.394720387003582
H2AR03176,2006,AR,3,John,Boozman,REP,1,False,125039,0.6223198821444921
H6AR03086,2006,AR,3,Woodrow,Anderson,DEM,0,False,75885,0.377680117855508
H0AR04038,2006,AR,4,Mike,Ross,DEM,1,False,128236,0.747313457190144
H6AR04068,2006,AR,4,Joe,Ross,REP,0,False,43360,0.25268654280985603
H0AS00018,2006,AS,0,Eni F.H. Faleomavaega,Hunkin,DEM,1,False,5195,0.470860146832231
H4AS00036,2006,AS,0,Amata Aumua,Coleman,REP,0,False,4493,0.407232846913804
H6AS00023,2006,AS,0,"Muavaefaatasi Ae, Jr.",Ae,IND,0,False,1345,0.121907006253965
H2AZ01172,2006,AZ,1,Rick,Renzi,REP,1,False,105646,0.517519925149041
H6AZ00035,2006,AZ,1,Ellen,Simon,DEM,0,False,88691,0.434463772233625
H6AZ01165,2006,AZ,1,David,Schlosser,LBT,0,False,9802,0.0480163026173343
H4AZ02119,2006,AZ,2,Powell,Gammill,LBT,0,False,5734,0.024869882026370603
H4AZ04024,2006,AZ,2,Trent,Franks,REP,1,False,135150,0.586181471200555
H6AZ00027,2006,AZ,2,William,Crum,W,0,False,5,2.16863289382373e-05
H6AZ02155,2006,AZ,2,John,Thrasher,DEM,0,False,89671,0.388926960444136
H4AZ04016,2006,AZ,3,John,Shadegg,REP,1,False,112519,0.5926762848368969
H4AZ04073,2006,AZ,3,Mark,Yannone,LBT,0,False,4744,0.0249882801594952
H6AZ03146,2006,AZ,3,Herb,Paine,DEM,0,False,72586,0.382335435003608
H2AZ02055,2006,AZ,4,Ed,Pastor,DEM,1,False,56464,0.725189761241186
H2AZ04101,2006,AZ,4,Don,Karg,REP,0,False,18627,0.239234019599029
H6AZ04169,2006,AZ,4,Ronald,Harders,W,0,False,2770,0.0355762191597847
H2AZ05124,2006,AZ,5,Warren,Severin,LBT,0,False,6357,0.031468739171328204
H4AZ06052,2006,AZ,5,J.D.,Hayworth,REP,0,False,93815,0.464407702588981
H6AZ05067,2006,AZ,5,Harry,Mitchell,DEM,1,False,101838,0.504123558239691
H0AZ01184,2006,AZ,6,Jeff,Flake,REP,1,False,152201,0.7479679191688859
H6AZ06040,2006,AZ,6,Jason M.,Blair,W,0,False,51285,0.252032080831114
H2AZ07070,2006,AZ,7,Raul,Grijalva,DEM,1,False,80354,0.6109408857631631
H6AZ07014,2006,AZ,7,Ron,Drake,REP,0,False,46498,0.353529747196351
H6AZ07022,2006,AZ,7,Joe,Cobb,W,0,False,4673,0.0355293670404866
H4AZ08017,2006,AZ,8,Randy,Graf,REP,0,False,106790,0.420897051868201
H6AZ08038,2006,AZ,8,Gabrielle,Giffords,DEM,1,False,137655,0.5425469020968
H6AZ08103,2006,AZ,8,Jay,Quick,IND,0,False,4408,0.0173734825792212
H6AZ08137,2006,AZ,8,David F.,Nolan,LBT,0,False,4849,0.0191116191076778
H6AZ08145,2006,AZ,8,Russ,Dove,W,0,False,7,2.75894687056598e-05
H6AZ08152,2006,AZ,8,"Leo F., Sr.",Kimminau,W,0,False,4,1.57654106889484e-05
H6AZ08160,2006,AZ,8,Paul,Price,W,0,False,7,2.75894687056598e-05
H0CA01130,2006,CA,1,Pamela,Elizondo,GRE,0,False,6899,0.0316404028544697
H6CA001160,2006,CA,1,Timothy J.,Stock,PAF,0,False,3503,0.0160655647483994
H6CA01152,2006,CA,1,John W.,Jones,REP,0,False,63194,0.289822237713489
H8CA01109,2006,CA,1,Mike,Thompson,DEM,1,False,144409,0.662292931701858
H4CA02072,2006,CA,2,A. J.,Sekhon,DEM,0,False,68234,0.324611564114518
H6CA02010,2006,CA,2,Wally,Herger,REP,1,False,134911,0.641815967497931
H6CA02200,2006,CA,2,E. Kent,Hinesley,LBT,0,False,7057,0.033572468387551
H6CA03091,2006,CA,3,Bill,Durston,DEM,0,False,86318,0.37830730730291995
H6CA03109,2006,CA,3,Michael,Roskey,PAF,0,False,2370,0.010387037678212202
H6CA34112,2006,CA,3,Dan,Lungren,REP,1,False,135709,0.594774049060126
H8CA05134,2006,CA,3,Douglas Arthur,Tuma,LBT,0,False,3772,0.0165316059587411
H0CA14042,2006,CA,4,John T.,Doolittle,REP,1,False,135818,0.49050716341691597
